id;name;extension;resolution;fps;youtube_link
1;WORKLOAD_1;mp4;640x480;30fps;https://www.youtube.com/watch?v=tznWpTAV41M
2;WORKLOAD_2;mp4;1920x1080;30fps;https://www.youtube.com/watch?v=vQtLX6pW5eA
3;WORKLOAD_3;mp4;1920x1080;24fps;https://www.youtube.com/watch?v=EWUdGRAwUpY
4;WORKLOAD_4;mp4;640x480;24fps;https://www.youtube.com/watch?v=JoWIjjZ6a-k
5;WORKLOAD_5;mp4;1280x720;25fps;https://www.youtube.com/watch?v=de2Hsvxaf8M
6;WORKLOAD_6;mp4;320x240;30fps;https://www.youtube.com/watch?v=ESjTlD606aQ
7;WORKLOAD_7;mp4;1280x720;24fps;https://www.youtube.com/watch?v=tGNBdjVO04Y
8;WORKLOAD_8;mp4;1920x1080;24fps;https://www.youtube.com/watch?v=5XVCf-CAEPk
9;WORKLOAD_9;mp4;1280x720;30fps;https://www.youtube.com/watch?v=AZ4tesVagso
10;WORKLOAD_10;mp4;1920x1080;50fps;https://www.youtube.com/watch?v=RuL5jVqc4Tg
