id,dataset,workload,faces_detected,eyes_detected,process_time_ms,total_time_ms,system,resolution_label
0,DATASET_1,FACE_DETECT,0,0,2194,2236,WINDOWS_10_WIN32,LARGE
1,DATASET_1,FACE_DETECT,0,0,3871,3876,WINDOWS_10_WIN32,LARGE
2,DATASET_1,FACE_DETECT,0,0,1270,1275,WINDOWS_10_WIN32,LARGE
3,DATASET_1,FACE_DETECT,1,0,1167,1171,WINDOWS_10_WIN32,LARGE
4,DATASET_1,FACE_DETECT,1,0,1116,1119,WINDOWS_10_WIN32,LARGE
5,DATASET_1,FACE_DETECT,1,0,1203,1208,WINDOWS_10_WIN32,LARGE
6,DATASET_1,FACE_DETECT,1,0,1125,1131,WINDOWS_10_WIN32,LARGE
7,DATASET_1,FACE_DETECT,1,0,1271,1276,WINDOWS_10_WIN32,LARGE
8,DATASET_1,FACE_DETECT,0,0,1213,1219,WINDOWS_10_WIN32,LARGE
9,DATASET_1,FACE_DETECT,0,0,1114,1120,WINDOWS_10_WIN32,LARGE
10,DATASET_1,FACE_DETECT,0,0,1148,1152,WINDOWS_10_WIN32,LARGE
11,DATASET_1,FACE_DETECT,0,0,1167,1171,WINDOWS_10_WIN32,LARGE
12,DATASET_1,FACE_DETECT,0,0,5115,5121,WINDOWS_10_WIN32,LARGE
13,DATASET_1,FACE_DETECT,1,0,1416,1421,WINDOWS_10_WIN32,LARGE
14,DATASET_1,FACE_DETECT,0,0,1235,1241,WINDOWS_10_WIN32,LARGE
15,DATASET_1,FACE_DETECT,0,0,1689,1697,WINDOWS_10_WIN32,LARGE
16,DATASET_1,FACE_DETECT,1,0,1231,1236,WINDOWS_10_WIN32,LARGE
17,DATASET_1,FACE_DETECT,0,0,1253,1258,WINDOWS_10_WIN32,LARGE
18,DATASET_1,FACE_DETECT,2,0,1272,1278,WINDOWS_10_WIN32,LARGE
19,DATASET_1,FACE_DETECT,2,0,1040,1044,WINDOWS_10_WIN32,LARGE
20,DATASET_1,FACE_DETECT,2,0,1034,1040,WINDOWS_10_WIN32,LARGE
21,DATASET_1,FACE_DETECT,2,0,3760,3765,WINDOWS_10_WIN32,LARGE
22,DATASET_1,FACE_DETECT,2,0,1116,1120,WINDOWS_10_WIN32,LARGE
23,DATASET_1,FACE_DETECT,1,0,1114,1118,WINDOWS_10_WIN32,LARGE
24,DATASET_1,FACE_DETECT,1,0,3567,3575,WINDOWS_10_WIN32,LARGE
25,DATASET_1,FACE_DETECT,1,0,3662,3666,WINDOWS_10_WIN32,LARGE
26,DATASET_1,FACE_DETECT,1,0,1017,1022,WINDOWS_10_WIN32,LARGE
27,DATASET_1,FACE_DETECT,1,0,1035,1039,WINDOWS_10_WIN32,LARGE
28,DATASET_1,FACE_DETECT,1,0,3600,3611,WINDOWS_10_WIN32,LARGE
29,DATASET_1,FACE_DETECT,1,0,1375,1379,WINDOWS_10_WIN32,LARGE
30,DATASET_1,FACE_DETECT,0,0,1215,1219,WINDOWS_10_WIN32,LARGE
31,DATASET_1,FACE_DETECT,0,0,4849,4853,WINDOWS_10_WIN32,LARGE
32,DATASET_1,FACE_DETECT,0,0,1525,1531,WINDOWS_10_WIN32,LARGE
33,DATASET_1,FACE_DETECT,0,0,1491,1495,WINDOWS_10_WIN32,LARGE
34,DATASET_1,FACE_DETECT,1,0,1358,1362,WINDOWS_10_WIN32,LARGE
35,DATASET_1,FACE_DETECT,0,0,1575,1580,WINDOWS_10_WIN32,LARGE
36,DATASET_1,FACE_DETECT,1,0,1319,1323,WINDOWS_10_WIN32,LARGE
37,DATASET_1,FACE_DETECT,2,0,1422,1427,WINDOWS_10_WIN32,LARGE
38,DATASET_1,FACE_DETECT,0,0,1442,1449,WINDOWS_10_WIN32,LARGE
39,DATASET_1,FACE_DETECT,0,0,1447,1452,WINDOWS_10_WIN32,LARGE
40,DATASET_1,FACE_DETECT,0,0,4800,4804,WINDOWS_10_WIN32,LARGE
41,DATASET_1,FACE_DETECT,0,0,1267,1274,WINDOWS_10_WIN32,LARGE
42,DATASET_1,FACE_DETECT,0,0,1346,1351,WINDOWS_10_WIN32,LARGE
