id,dataset,workload,faces_detected,eyes_detected,process_time_ms,total_time_ms,system,resolution_label
0,DATASET_1,FACE_DETECT,1,0,192,313,Chrome_75_Windows,SMALL
1,DATASET_1,FACE_DETECT,1,0,188,203,Chrome_75_Windows,SMALL
2,DATASET_1,FACE_DETECT,1,0,185,204,Chrome_75_Windows,SMALL
3,DATASET_1,FACE_DETECT,1,0,181,217,Chrome_75_Windows,SMALL
4,DATASET_1,FACE_DETECT,0,0,183,208,Chrome_75_Windows,SMALL
5,DATASET_1,FACE_DETECT,1,0,184,209,Chrome_75_Windows,SMALL
6,DATASET_1,FACE_DETECT,1,0,184,207,Chrome_75_Windows,SMALL
7,DATASET_1,FACE_DETECT,0,0,189,216,Chrome_75_Windows,SMALL
8,DATASET_1,FACE_DETECT,0,0,184,209,Chrome_75_Windows,SMALL
9,DATASET_1,FACE_DETECT,1,0,179,200,Chrome_75_Windows,SMALL
10,DATASET_1,FACE_DETECT,1,0,183,204,Chrome_75_Windows,SMALL
11,DATASET_1,FACE_DETECT,0,0,176,198,Chrome_75_Windows,SMALL
12,DATASET_1,FACE_DETECT,1,0,176,198,Chrome_75_Windows,SMALL
13,DATASET_1,FACE_DETECT,1,0,181,204,Chrome_75_Windows,SMALL
14,DATASET_1,FACE_DETECT,1,0,182,205,Chrome_75_Windows,SMALL
15,DATASET_1,FACE_DETECT,1,0,186,210,Chrome_75_Windows,SMALL
16,DATASET_1,FACE_DETECT,1,0,178,200,Chrome_75_Windows,SMALL
17,DATASET_1,FACE_DETECT,1,0,182,204,Chrome_75_Windows,SMALL
18,DATASET_1,FACE_DETECT,1,0,181,203,Chrome_75_Windows,SMALL
19,DATASET_1,FACE_DETECT,1,0,176,198,Chrome_75_Windows,SMALL
20,DATASET_1,FACE_DETECT,1,0,183,205,Chrome_75_Windows,SMALL
21,DATASET_1,FACE_DETECT,0,0,183,205,Chrome_75_Windows,SMALL
22,DATASET_1,FACE_DETECT,1,0,181,205,Chrome_75_Windows,SMALL
23,DATASET_1,FACE_DETECT,1,0,174,198,Chrome_75_Windows,SMALL
24,DATASET_1,FACE_DETECT,1,0,182,209,Chrome_75_Windows,SMALL
25,DATASET_1,FACE_DETECT,1,0,181,206,Chrome_75_Windows,SMALL
26,DATASET_1,FACE_DETECT,1,0,182,204,Chrome_75_Windows,SMALL
27,DATASET_1,FACE_DETECT,1,0,179,202,Chrome_75_Windows,SMALL
28,DATASET_1,FACE_DETECT,1,0,181,205,Chrome_75_Windows,SMALL
29,DATASET_1,FACE_DETECT,1,0,181,205,Chrome_75_Windows,SMALL
30,DATASET_1,FACE_DETECT,1,0,179,200,Chrome_75_Windows,SMALL
31,DATASET_1,FACE_DETECT,1,0,174,195,Chrome_75_Windows,SMALL
32,DATASET_1,FACE_DETECT,1,0,181,205,Chrome_75_Windows,SMALL
33,DATASET_1,FACE_DETECT,0,0,188,214,Chrome_75_Windows,SMALL
34,DATASET_1,FACE_DETECT,1,0,179,199,Chrome_75_Windows,SMALL
35,DATASET_1,FACE_DETECT,1,0,179,206,Chrome_75_Windows,SMALL
36,DATASET_1,FACE_DETECT,1,0,291,317,Chrome_75_Windows,SMALL
37,DATASET_1,FACE_DETECT,1,0,175,192,Chrome_75_Windows,SMALL
38,DATASET_1,FACE_DETECT,1,0,176,200,Chrome_75_Windows,SMALL
39,DATASET_1,FACE_DETECT,0,0,177,199,Chrome_75_Windows,SMALL
40,DATASET_1,FACE_DETECT,2,0,191,213,Chrome_75_Windows,SMALL
41,DATASET_1,FACE_DETECT,1,0,194,213,Chrome_75_Windows,SMALL
42,DATASET_1,FACE_DETECT,1,0,188,209,Chrome_75_Windows,SMALL
43,DATASET_1,FACE_DETECT,2,0,192,215,Chrome_75_Windows,SMALL
44,DATASET_1,FACE_DETECT,2,0,201,227,Chrome_75_Windows,SMALL
45,DATASET_1,FACE_DETECT,2,0,202,226,Chrome_75_Windows,SMALL
46,DATASET_1,FACE_DETECT,2,0,199,223,Chrome_75_Windows,SMALL
47,DATASET_1,FACE_DETECT,2,0,197,223,Chrome_75_Windows,SMALL
48,DATASET_1,FACE_DETECT,1,0,200,221,Chrome_75_Windows,SMALL
49,DATASET_1,FACE_DETECT,1,0,202,230,Chrome_75_Windows,SMALL
50,DATASET_1,FACE_DETECT,1,0,200,228,Chrome_75_Windows,SMALL
51,DATASET_1,FACE_DETECT,1,0,201,224,Chrome_75_Windows,SMALL
52,DATASET_1,FACE_DETECT,1,0,200,223,Chrome_75_Windows,SMALL
53,DATASET_1,FACE_DETECT,2,0,195,220,Chrome_75_Windows,SMALL
54,DATASET_1,FACE_DETECT,1,0,198,225,Chrome_75_Windows,SMALL
55,DATASET_1,FACE_DETECT,1,0,196,220,Chrome_75_Windows,SMALL
56,DATASET_1,FACE_DETECT,1,0,179,207,Chrome_75_Windows,SMALL
57,DATASET_1,FACE_DETECT,0,0,188,212,Chrome_75_Windows,SMALL
58,DATASET_1,FACE_DETECT,0,0,189,218,Chrome_75_Windows,SMALL
59,DATASET_1,FACE_DETECT,0,0,184,210,Chrome_75_Windows,SMALL
60,DATASET_1,FACE_DETECT,0,0,188,213,Chrome_75_Windows,SMALL
61,DATASET_1,FACE_DETECT,0,0,198,224,Chrome_75_Windows,SMALL
62,DATASET_1,FACE_DETECT,1,0,200,225,Chrome_75_Windows,SMALL
63,DATASET_1,FACE_DETECT,1,0,200,220,Chrome_75_Windows,SMALL
64,DATASET_1,FACE_DETECT,2,0,194,216,Chrome_75_Windows,SMALL
65,DATASET_1,FACE_DETECT,2,0,205,228,Chrome_75_Windows,SMALL
66,DATASET_1,FACE_DETECT,2,0,198,221,Chrome_75_Windows,SMALL
67,DATASET_1,FACE_DETECT,2,0,188,211,Chrome_75_Windows,SMALL
68,DATASET_1,FACE_DETECT,2,0,191,214,Chrome_75_Windows,SMALL
69,DATASET_1,FACE_DETECT,2,0,184,207,Chrome_75_Windows,SMALL
70,DATASET_1,FACE_DETECT,1,0,187,208,Chrome_75_Windows,SMALL
71,DATASET_1,FACE_DETECT,1,0,185,205,Chrome_75_Windows,SMALL
72,DATASET_1,FACE_DETECT,1,0,186,208,Chrome_75_Windows,SMALL
73,DATASET_1,FACE_DETECT,1,0,187,210,Chrome_75_Windows,SMALL
74,DATASET_1,FACE_DETECT,1,0,188,212,Chrome_75_Windows,SMALL
75,DATASET_1,FACE_DETECT,1,0,195,219,Chrome_75_Windows,SMALL
76,DATASET_1,FACE_DETECT,0,0,230,253,Chrome_75_Windows,SMALL
77,DATASET_1,FACE_DETECT,0,0,228,256,Chrome_75_Windows,SMALL
78,DATASET_1,FACE_DETECT,0,0,217,234,Chrome_75_Windows,SMALL
79,DATASET_1,FACE_DETECT,0,0,222,226,Chrome_75_Windows,SMALL
80,DATASET_1,FACE_DETECT,0,0,218,234,Chrome_75_Windows,SMALL
81,DATASET_1,FACE_DETECT,1,0,224,241,Chrome_75_Windows,SMALL
82,DATASET_1,FACE_DETECT,0,0,279,305,Chrome_75_Windows,SMALL
83,DATASET_1,FACE_DETECT,0,0,218,237,Chrome_75_Windows,SMALL
84,DATASET_1,FACE_DETECT,0,0,215,218,Chrome_75_Windows,SMALL
85,DATASET_1,FACE_DETECT,0,0,206,225,Chrome_75_Windows,SMALL
86,DATASET_1,FACE_DETECT,0,0,202,219,Chrome_75_Windows,SMALL
87,DATASET_1,FACE_DETECT,0,0,204,223,Chrome_75_Windows,SMALL
88,DATASET_1,FACE_DETECT,0,0,210,228,Chrome_75_Windows,SMALL
89,DATASET_1,FACE_DETECT,0,0,235,258,Chrome_75_Windows,SMALL
90,DATASET_1,FACE_DETECT,0,0,239,259,Chrome_75_Windows,SMALL
91,DATASET_1,FACE_DETECT,0,0,235,256,Chrome_75_Windows,SMALL
92,DATASET_1,FACE_DETECT,0,0,238,267,Chrome_75_Windows,SMALL
93,DATASET_1,FACE_DETECT,0,0,228,253,Chrome_75_Windows,SMALL
94,DATASET_1,FACE_DETECT,0,0,228,250,Chrome_75_Windows,SMALL
