id,dataset,workload,faces_detected,eyes_detected,process_time_ms,total_time_ms,system,resolution_label
0,DATASET_1,FACE_DETECT,1,0,147,309,Firefox_67_Windows,SMALL
1,DATASET_1,FACE_DETECT,1,0,148,191,Firefox_67_Windows,SMALL
2,DATASET_1,FACE_DETECT,1,0,151,197,Firefox_67_Windows,SMALL
3,DATASET_1,FACE_DETECT,1,0,142,188,Firefox_67_Windows,SMALL
4,DATASET_1,FACE_DETECT,1,0,136,172,Firefox_67_Windows,SMALL
5,DATASET_1,FACE_DETECT,0,0,136,175,Firefox_67_Windows,SMALL
6,DATASET_1,FACE_DETECT,1,0,137,176,Firefox_67_Windows,SMALL
7,DATASET_1,FACE_DETECT,1,0,145,182,Firefox_67_Windows,SMALL
8,DATASET_1,FACE_DETECT,0,0,144,188,Firefox_67_Windows,SMALL
9,DATASET_1,FACE_DETECT,0,0,134,173,Firefox_67_Windows,SMALL
10,DATASET_1,FACE_DETECT,1,0,132,171,Firefox_67_Windows,SMALL
11,DATASET_1,FACE_DETECT,1,0,131,170,Firefox_67_Windows,SMALL
12,DATASET_1,FACE_DETECT,0,0,135,175,Firefox_67_Windows,SMALL
13,DATASET_1,FACE_DETECT,1,0,133,170,Firefox_67_Windows,SMALL
14,DATASET_1,FACE_DETECT,1,0,134,173,Firefox_67_Windows,SMALL
15,DATASET_1,FACE_DETECT,0,0,134,172,Firefox_67_Windows,SMALL
16,DATASET_1,FACE_DETECT,1,0,132,172,Firefox_67_Windows,SMALL
17,DATASET_1,FACE_DETECT,1,0,148,189,Firefox_67_Windows,SMALL
18,DATASET_1,FACE_DETECT,1,0,134,173,Firefox_67_Windows,SMALL
19,DATASET_1,FACE_DETECT,1,0,133,172,Firefox_67_Windows,SMALL
20,DATASET_1,FACE_DETECT,1,0,134,171,Firefox_67_Windows,SMALL
21,DATASET_1,FACE_DETECT,0,0,132,173,Firefox_67_Windows,SMALL
22,DATASET_1,FACE_DETECT,1,0,133,172,Firefox_67_Windows,SMALL
23,DATASET_1,FACE_DETECT,1,0,135,173,Firefox_67_Windows,SMALL
24,DATASET_1,FACE_DETECT,1,0,149,188,Firefox_67_Windows,SMALL
25,DATASET_1,FACE_DETECT,1,0,132,170,Firefox_67_Windows,SMALL
26,DATASET_1,FACE_DETECT,0,0,131,169,Firefox_67_Windows,SMALL
27,DATASET_1,FACE_DETECT,0,0,143,182,Firefox_67_Windows,SMALL
28,DATASET_1,FACE_DETECT,1,0,134,171,Firefox_67_Windows,SMALL
29,DATASET_1,FACE_DETECT,1,0,132,172,Firefox_67_Windows,SMALL
30,DATASET_1,FACE_DETECT,1,0,132,170,Firefox_67_Windows,SMALL
31,DATASET_1,FACE_DETECT,1,0,132,168,Firefox_67_Windows,SMALL
32,DATASET_1,FACE_DETECT,1,0,132,172,Firefox_67_Windows,SMALL
33,DATASET_1,FACE_DETECT,1,0,133,171,Firefox_67_Windows,SMALL
34,DATASET_1,FACE_DETECT,1,0,131,169,Firefox_67_Windows,SMALL
35,DATASET_1,FACE_DETECT,1,0,132,170,Firefox_67_Windows,SMALL
36,DATASET_1,FACE_DETECT,1,0,132,170,Firefox_67_Windows,SMALL
37,DATASET_1,FACE_DETECT,0,0,134,170,Firefox_67_Windows,SMALL
38,DATASET_1,FACE_DETECT,0,0,134,172,Firefox_67_Windows,SMALL
39,DATASET_1,FACE_DETECT,1,0,131,172,Firefox_67_Windows,SMALL
40,DATASET_1,FACE_DETECT,1,0,133,173,Firefox_67_Windows,SMALL
41,DATASET_1,FACE_DETECT,1,0,132,169,Firefox_67_Windows,SMALL
42,DATASET_1,FACE_DETECT,1,0,134,170,Firefox_67_Windows,SMALL
43,DATASET_1,FACE_DETECT,1,0,135,174,Firefox_67_Windows,SMALL
