id,dataset,workload,faces_detected,eyes_detected,process_time_ms,total_time_ms,system,resolution_label
0,DATASET_1,FACE_DETECT,1,0,1209,1266,WINDOWS_10_WIN32,SMALL
1,DATASET_1,FACE_DETECT,1,0,368,369,WINDOWS_10_WIN32,SMALL
2,DATASET_1,FACE_DETECT,0,0,316,317,WINDOWS_10_WIN32,SMALL
3,DATASET_1,FACE_DETECT,1,0,341,343,WINDOWS_10_WIN32,SMALL
4,DATASET_1,FACE_DETECT,0,0,332,333,WINDOWS_10_WIN32,SMALL
5,DATASET_1,FACE_DETECT,0,0,352,353,WINDOWS_10_WIN32,SMALL
6,DATASET_1,FACE_DETECT,1,0,376,377,WINDOWS_10_WIN32,SMALL
7,DATASET_1,FACE_DETECT,1,0,972,973,WINDOWS_10_WIN32,SMALL
8,DATASET_1,FACE_DETECT,0,0,277,279,WINDOWS_10_WIN32,SMALL
9,DATASET_1,FACE_DETECT,0,0,308,309,WINDOWS_10_WIN32,SMALL
10,DATASET_1,FACE_DETECT,0,0,430,432,WINDOWS_10_WIN32,SMALL
11,DATASET_1,FACE_DETECT,0,0,412,415,WINDOWS_10_WIN32,SMALL
12,DATASET_1,FACE_DETECT,0,0,303,305,WINDOWS_10_WIN32,SMALL
13,DATASET_1,FACE_DETECT,1,0,333,334,WINDOWS_10_WIN32,SMALL
14,DATASET_1,FACE_DETECT,1,0,419,421,WINDOWS_10_WIN32,SMALL
15,DATASET_1,FACE_DETECT,1,0,371,372,WINDOWS_10_WIN32,SMALL
16,DATASET_1,FACE_DETECT,1,0,520,525,WINDOWS_10_WIN32,SMALL
17,DATASET_1,FACE_DETECT,1,0,350,351,WINDOWS_10_WIN32,SMALL
18,DATASET_1,FACE_DETECT,0,0,362,364,WINDOWS_10_WIN32,SMALL
19,DATASET_1,FACE_DETECT,1,0,396,398,WINDOWS_10_WIN32,SMALL
20,DATASET_1,FACE_DETECT,0,0,293,294,WINDOWS_10_WIN32,SMALL
21,DATASET_1,FACE_DETECT,0,0,362,364,WINDOWS_10_WIN32,SMALL
22,DATASET_1,FACE_DETECT,0,0,344,347,WINDOWS_10_WIN32,SMALL
23,DATASET_1,FACE_DETECT,0,0,307,308,WINDOWS_10_WIN32,SMALL
24,DATASET_1,FACE_DETECT,1,0,377,379,WINDOWS_10_WIN32,SMALL
25,DATASET_1,FACE_DETECT,1,0,333,334,WINDOWS_10_WIN32,SMALL
26,DATASET_1,FACE_DETECT,1,0,411,413,WINDOWS_10_WIN32,SMALL
27,DATASET_1,FACE_DETECT,1,0,324,325,WINDOWS_10_WIN32,SMALL
