id,dataset,workload,faces_detected,eyes_detected,process_time_ms,total_time_ms,system,resolution_label
0,DATASET_2,FACE_DETECT,0,0,1512,1540,Chrome_75_Windows,LARGE
1,DATASET_2,FACE_DETECT,1,0,1471,1492,Chrome_75_Windows,LARGE
2,DATASET_2,FACE_DETECT,1,0,1288,1310,Chrome_75_Windows,LARGE
3,DATASET_2,FACE_DETECT,1,0,1440,1479,Chrome_75_Windows,LARGE
4,DATASET_2,FACE_DETECT,4,0,1267,1298,Chrome_75_Windows,LARGE
5,DATASET_2,FACE_DETECT,1,0,1569,1595,Chrome_75_Windows,LARGE
6,DATASET_2,FACE_DETECT,0,0,1550,1582,Chrome_75_Windows,LARGE
7,DATASET_2,FACE_DETECT,2,0,1625,1654,Chrome_75_Windows,LARGE
8,DATASET_2,FACE_DETECT,1,0,1416,1450,Chrome_75_Windows,LARGE
9,DATASET_2,FACE_DETECT,2,0,1113,1146,Chrome_75_Windows,LARGE
10,DATASET_2,FACE_DETECT,1,0,1179,1216,Chrome_75_Windows,LARGE
11,DATASET_2,FACE_DETECT,1,0,1247,1286,Chrome_75_Windows,LARGE
12,DATASET_2,FACE_DETECT,0,0,1209,1241,Chrome_75_Windows,LARGE
13,DATASET_2,FACE_DETECT,1,0,1168,1204,Chrome_75_Windows,LARGE
14,DATASET_2,FACE_DETECT,1,0,1191,1224,Chrome_75_Windows,LARGE
15,DATASET_2,FACE_DETECT,1,0,1280,1333,Chrome_75_Windows,LARGE
16,DATASET_2,FACE_DETECT,1,0,1188,1224,Chrome_75_Windows,LARGE
17,DATASET_2,FACE_DETECT,1,0,1225,1262,Chrome_75_Windows,LARGE
18,DATASET_2,FACE_DETECT,1,0,1223,1256,Chrome_75_Windows,LARGE
19,DATASET_2,FACE_DETECT,1,0,1192,1217,Chrome_75_Windows,LARGE
20,DATASET_2,FACE_DETECT,1,0,1235,1248,Chrome_75_Windows,LARGE
21,DATASET_2,FACE_DETECT,1,0,1238,1270,Chrome_75_Windows,LARGE
22,DATASET_2,FACE_DETECT,1,0,1192,1230,Chrome_75_Windows,LARGE
23,DATASET_2,FACE_DETECT,1,0,1323,1356,Chrome_75_Windows,LARGE
24,DATASET_2,FACE_DETECT,2,0,1201,1237,Chrome_75_Windows,LARGE
25,DATASET_2,FACE_DETECT,2,0,1195,1228,Chrome_75_Windows,LARGE
26,DATASET_2,FACE_DETECT,2,0,1190,1229,Chrome_75_Windows,LARGE
27,DATASET_2,FACE_DETECT,2,0,1209,1242,Chrome_75_Windows,LARGE
28,DATASET_2,FACE_DETECT,2,0,1217,1255,Chrome_75_Windows,LARGE
29,DATASET_2,FACE_DETECT,1,0,1226,1261,Chrome_75_Windows,LARGE
30,DATASET_2,FACE_DETECT,2,0,1234,1270,Chrome_75_Windows,LARGE
31,DATASET_2,FACE_DETECT,2,0,1381,1415,Chrome_75_Windows,LARGE
32,DATASET_2,FACE_DETECT,1,0,1250,1283,Chrome_75_Windows,LARGE
33,DATASET_2,FACE_DETECT,1,0,1215,1248,Chrome_75_Windows,LARGE
34,DATASET_2,FACE_DETECT,1,0,1210,1245,Chrome_75_Windows,LARGE
35,DATASET_2,FACE_DETECT,1,0,1231,1274,Chrome_75_Windows,LARGE
36,DATASET_2,FACE_DETECT,1,0,1218,1254,Chrome_75_Windows,LARGE
37,DATASET_2,FACE_DETECT,2,0,1188,1223,Chrome_75_Windows,LARGE
38,DATASET_2,FACE_DETECT,2,0,1289,1325,Chrome_75_Windows,LARGE
39,DATASET_2,FACE_DETECT,1,0,1356,1388,Chrome_75_Windows,LARGE
40,DATASET_2,FACE_DETECT,2,0,1239,1265,Chrome_75_Windows,LARGE
41,DATASET_2,FACE_DETECT,1,0,1256,1284,Chrome_75_Windows,LARGE
42,DATASET_2,FACE_DETECT,2,0,1194,1226,Chrome_75_Windows,LARGE
43,DATASET_2,FACE_DETECT,2,0,1204,1237,Chrome_75_Windows,LARGE
44,DATASET_2,FACE_DETECT,3,0,1221,1252,Chrome_75_Windows,LARGE
45,DATASET_2,FACE_DETECT,3,0,1214,1250,Chrome_75_Windows,LARGE
46,DATASET_2,FACE_DETECT,2,0,1235,1267,Chrome_75_Windows,LARGE
47,DATASET_2,FACE_DETECT,2,0,1345,1382,Chrome_75_Windows,LARGE
48,DATASET_2,FACE_DETECT,2,0,1267,1305,Chrome_75_Windows,LARGE
49,DATASET_2,FACE_DETECT,2,0,1252,1284,Chrome_75_Windows,LARGE
50,DATASET_2,FACE_DETECT,2,0,1290,1330,Chrome_75_Windows,LARGE
51,DATASET_2,FACE_DETECT,2,0,1254,1296,Chrome_75_Windows,LARGE
52,DATASET_2,FACE_DETECT,2,0,1227,1262,Chrome_75_Windows,LARGE
53,DATASET_2,FACE_DETECT,2,0,1268,1300,Chrome_75_Windows,LARGE
54,DATASET_2,FACE_DETECT,2,0,1399,1434,Chrome_75_Windows,LARGE
55,DATASET_2,FACE_DETECT,2,0,1230,1268,Chrome_75_Windows,LARGE
56,DATASET_2,FACE_DETECT,2,0,1203,1242,Chrome_75_Windows,LARGE
57,DATASET_2,FACE_DETECT,2,0,1222,1254,Chrome_75_Windows,LARGE
58,DATASET_2,FACE_DETECT,3,0,1276,1314,Chrome_75_Windows,LARGE
59,DATASET_2,FACE_DETECT,3,0,1256,1288,Chrome_75_Windows,LARGE
60,DATASET_2,FACE_DETECT,2,0,1249,1282,Chrome_75_Windows,LARGE
61,DATASET_2,FACE_DETECT,2,0,1221,1233,Chrome_75_Windows,LARGE
62,DATASET_2,FACE_DETECT,2,0,1393,1431,Chrome_75_Windows,LARGE
63,DATASET_2,FACE_DETECT,2,0,1266,1298,Chrome_75_Windows,LARGE
64,DATASET_2,FACE_DETECT,2,0,1281,1321,Chrome_75_Windows,LARGE
65,DATASET_2,FACE_DETECT,2,0,1234,1271,Chrome_75_Windows,LARGE
66,DATASET_2,FACE_DETECT,2,0,1284,1310,Chrome_75_Windows,LARGE
67,DATASET_2,FACE_DETECT,2,0,1226,1239,Chrome_75_Windows,LARGE
68,DATASET_2,FACE_DETECT,0,0,1235,1271,Chrome_75_Windows,LARGE
69,DATASET_2,FACE_DETECT,0,0,1236,1268,Chrome_75_Windows,LARGE
70,DATASET_2,FACE_DETECT,1,0,1338,1371,Chrome_75_Windows,LARGE
71,DATASET_2,FACE_DETECT,0,0,1283,1319,Chrome_75_Windows,LARGE
72,DATASET_2,FACE_DETECT,1,0,1294,1326,Chrome_75_Windows,LARGE
73,DATASET_2,FACE_DETECT,0,0,1288,1323,Chrome_75_Windows,LARGE
74,DATASET_2,FACE_DETECT,0,0,1317,1356,Chrome_75_Windows,LARGE
75,DATASET_2,FACE_DETECT,0,0,1266,1297,Chrome_75_Windows,LARGE
76,DATASET_2,FACE_DETECT,0,0,1334,1365,Chrome_75_Windows,LARGE
