id,dataset,workload,faces_detected,eyes_detected,process_time_ms,total_time_ms,system,resolution_label
0,DATASET_2,FACE_DETECT,0,0,793,835,WINDOWS_10_WIN32,MEDIUM
1,DATASET_2,FACE_DETECT,1,0,126,128,WINDOWS_10_WIN32,MEDIUM
2,DATASET_2,FACE_DETECT,0,0,108,109,WINDOWS_10_WIN32,MEDIUM
3,DATASET_2,FACE_DETECT,0,0,121,122,WINDOWS_10_WIN32,MEDIUM
4,DATASET_2,FACE_DETECT,0,0,105,107,WINDOWS_10_WIN32,MEDIUM
5,DATASET_2,FACE_DETECT,0,0,114,115,WINDOWS_10_WIN32,MEDIUM
6,DATASET_2,FACE_DETECT,1,0,117,119,WINDOWS_10_WIN32,MEDIUM
7,DATASET_2,FACE_DETECT,1,0,124,127,WINDOWS_10_WIN32,MEDIUM
8,DATASET_2,FACE_DETECT,2,0,100,101,WINDOWS_10_WIN32,MEDIUM
9,DATASET_2,FACE_DETECT,2,0,119,121,WINDOWS_10_WIN32,MEDIUM
10,DATASET_2,FACE_DETECT,1,0,110,112,WINDOWS_10_WIN32,MEDIUM
11,DATASET_2,FACE_DETECT,1,0,124,127,WINDOWS_10_WIN32,MEDIUM
12,DATASET_2,FACE_DETECT,0,0,108,109,WINDOWS_10_WIN32,MEDIUM
13,DATASET_2,FACE_DETECT,1,0,110,112,WINDOWS_10_WIN32,MEDIUM
14,DATASET_2,FACE_DETECT,1,0,112,114,WINDOWS_10_WIN32,MEDIUM
15,DATASET_2,FACE_DETECT,1,0,109,111,WINDOWS_10_WIN32,MEDIUM
16,DATASET_2,FACE_DETECT,1,0,121,123,WINDOWS_10_WIN32,MEDIUM
17,DATASET_2,FACE_DETECT,1,0,123,125,WINDOWS_10_WIN32,MEDIUM
18,DATASET_2,FACE_DETECT,1,0,111,112,WINDOWS_10_WIN32,MEDIUM
19,DATASET_2,FACE_DETECT,1,0,121,124,WINDOWS_10_WIN32,MEDIUM
20,DATASET_2,FACE_DETECT,0,0,121,122,WINDOWS_10_WIN32,MEDIUM
21,DATASET_2,FACE_DETECT,0,0,116,119,WINDOWS_10_WIN32,MEDIUM
22,DATASET_2,FACE_DETECT,1,0,111,112,WINDOWS_10_WIN32,MEDIUM
23,DATASET_2,FACE_DETECT,1,0,116,117,WINDOWS_10_WIN32,MEDIUM
24,DATASET_2,FACE_DETECT,0,0,111,112,WINDOWS_10_WIN32,MEDIUM
25,DATASET_2,FACE_DETECT,1,0,138,141,WINDOWS_10_WIN32,MEDIUM
26,DATASET_2,FACE_DETECT,0,0,108,110,WINDOWS_10_WIN32,MEDIUM
27,DATASET_2,FACE_DETECT,0,0,120,122,WINDOWS_10_WIN32,MEDIUM
28,DATASET_2,FACE_DETECT,1,0,121,122,WINDOWS_10_WIN32,MEDIUM
29,DATASET_2,FACE_DETECT,0,0,114,116,WINDOWS_10_WIN32,MEDIUM
30,DATASET_2,FACE_DETECT,1,0,125,128,WINDOWS_10_WIN32,MEDIUM
31,DATASET_2,FACE_DETECT,2,0,113,115,WINDOWS_10_WIN32,MEDIUM
32,DATASET_2,FACE_DETECT,0,0,111,112,WINDOWS_10_WIN32,MEDIUM
33,DATASET_2,FACE_DETECT,0,0,122,124,WINDOWS_10_WIN32,MEDIUM
34,DATASET_2,FACE_DETECT,1,0,117,119,WINDOWS_10_WIN32,MEDIUM
35,DATASET_2,FACE_DETECT,3,0,131,133,WINDOWS_10_WIN32,MEDIUM
36,DATASET_2,FACE_DETECT,0,0,117,118,WINDOWS_10_WIN32,MEDIUM
37,DATASET_2,FACE_DETECT,0,0,110,111,WINDOWS_10_WIN32,MEDIUM
38,DATASET_2,FACE_DETECT,0,0,127,129,WINDOWS_10_WIN32,MEDIUM
39,DATASET_2,FACE_DETECT,0,0,113,115,WINDOWS_10_WIN32,MEDIUM
40,DATASET_2,FACE_DETECT,0,0,130,132,WINDOWS_10_WIN32,MEDIUM
41,DATASET_2,FACE_DETECT,0,0,120,122,WINDOWS_10_WIN32,MEDIUM
42,DATASET_2,FACE_DETECT,1,0,105,106,WINDOWS_10_WIN32,MEDIUM
43,DATASET_2,FACE_DETECT,1,0,131,134,WINDOWS_10_WIN32,MEDIUM
44,DATASET_2,FACE_DETECT,1,0,117,119,WINDOWS_10_WIN32,MEDIUM
45,DATASET_2,FACE_DETECT,0,0,106,107,WINDOWS_10_WIN32,MEDIUM
46,DATASET_2,FACE_DETECT,0,0,118,120,WINDOWS_10_WIN32,MEDIUM
47,DATASET_2,FACE_DETECT,0,0,110,111,WINDOWS_10_WIN32,MEDIUM
48,DATASET_2,FACE_DETECT,0,0,113,115,WINDOWS_10_WIN32,MEDIUM
49,DATASET_2,FACE_DETECT,0,0,112,113,WINDOWS_10_WIN32,MEDIUM
50,DATASET_2,FACE_DETECT,0,0,108,109,WINDOWS_10_WIN32,MEDIUM
51,DATASET_2,FACE_DETECT,0,0,111,113,WINDOWS_10_WIN32,MEDIUM
52,DATASET_2,FACE_DETECT,0,0,112,113,WINDOWS_10_WIN32,MEDIUM
53,DATASET_2,FACE_DETECT,0,0,105,106,WINDOWS_10_WIN32,MEDIUM
54,DATASET_2,FACE_DETECT,1,0,111,112,WINDOWS_10_WIN32,MEDIUM
55,DATASET_2,FACE_DETECT,1,0,118,120,WINDOWS_10_WIN32,MEDIUM
56,DATASET_2,FACE_DETECT,1,0,112,114,WINDOWS_10_WIN32,MEDIUM
57,DATASET_2,FACE_DETECT,1,0,113,114,WINDOWS_10_WIN32,MEDIUM
58,DATASET_2,FACE_DETECT,0,0,109,111,WINDOWS_10_WIN32,MEDIUM
59,DATASET_2,FACE_DETECT,1,0,121,123,WINDOWS_10_WIN32,MEDIUM
60,DATASET_2,FACE_DETECT,2,0,159,160,WINDOWS_10_WIN32,MEDIUM
61,DATASET_2,FACE_DETECT,2,0,118,119,WINDOWS_10_WIN32,MEDIUM
62,DATASET_2,FACE_DETECT,1,0,104,106,WINDOWS_10_WIN32,MEDIUM
63,DATASET_2,FACE_DETECT,1,0,119,120,WINDOWS_10_WIN32,MEDIUM
64,DATASET_2,FACE_DETECT,1,0,119,120,WINDOWS_10_WIN32,MEDIUM
65,DATASET_2,FACE_DETECT,1,0,119,122,WINDOWS_10_WIN32,MEDIUM
66,DATASET_2,FACE_DETECT,1,0,114,115,WINDOWS_10_WIN32,MEDIUM
67,DATASET_2,FACE_DETECT,1,0,108,109,WINDOWS_10_WIN32,MEDIUM
68,DATASET_2,FACE_DETECT,1,0,111,112,WINDOWS_10_WIN32,MEDIUM
69,DATASET_2,FACE_DETECT,1,0,129,131,WINDOWS_10_WIN32,MEDIUM
70,DATASET_2,FACE_DETECT,1,0,114,116,WINDOWS_10_WIN32,MEDIUM
71,DATASET_2,FACE_DETECT,1,0,107,108,WINDOWS_10_WIN32,MEDIUM
72,DATASET_2,FACE_DETECT,1,0,103,104,WINDOWS_10_WIN32,MEDIUM
73,DATASET_2,FACE_DETECT,1,0,109,111,WINDOWS_10_WIN32,MEDIUM
74,DATASET_2,FACE_DETECT,2,0,108,110,WINDOWS_10_WIN32,MEDIUM
75,DATASET_2,FACE_DETECT,2,0,120,122,WINDOWS_10_WIN32,MEDIUM
76,DATASET_2,FACE_DETECT,2,0,105,107,WINDOWS_10_WIN32,MEDIUM
77,DATASET_2,FACE_DETECT,2,0,103,104,WINDOWS_10_WIN32,MEDIUM
78,DATASET_2,FACE_DETECT,3,0,104,106,WINDOWS_10_WIN32,MEDIUM
79,DATASET_2,FACE_DETECT,3,0,109,111,WINDOWS_10_WIN32,MEDIUM
80,DATASET_2,FACE_DETECT,3,0,118,120,WINDOWS_10_WIN32,MEDIUM
81,DATASET_2,FACE_DETECT,2,0,113,115,WINDOWS_10_WIN32,MEDIUM
82,DATASET_2,FACE_DETECT,2,0,106,107,WINDOWS_10_WIN32,MEDIUM
83,DATASET_2,FACE_DETECT,2,0,108,109,WINDOWS_10_WIN32,MEDIUM
84,DATASET_2,FACE_DETECT,3,0,106,107,WINDOWS_10_WIN32,MEDIUM
85,DATASET_2,FACE_DETECT,3,0,114,116,WINDOWS_10_WIN32,MEDIUM
86,DATASET_2,FACE_DETECT,3,0,117,118,WINDOWS_10_WIN32,MEDIUM
87,DATASET_2,FACE_DETECT,2,0,109,110,WINDOWS_10_WIN32,MEDIUM
88,DATASET_2,FACE_DETECT,3,0,151,153,WINDOWS_10_WIN32,MEDIUM
89,DATASET_2,FACE_DETECT,1,0,109,112,WINDOWS_10_WIN32,MEDIUM
90,DATASET_2,FACE_DETECT,3,0,110,111,WINDOWS_10_WIN32,MEDIUM
91,DATASET_2,FACE_DETECT,2,0,112,114,WINDOWS_10_WIN32,MEDIUM
92,DATASET_2,FACE_DETECT,0,0,133,134,WINDOWS_10_WIN32,MEDIUM
93,DATASET_2,FACE_DETECT,1,0,145,146,WINDOWS_10_WIN32,MEDIUM
94,DATASET_2,FACE_DETECT,1,0,134,135,WINDOWS_10_WIN32,MEDIUM
95,DATASET_2,FACE_DETECT,1,0,118,119,WINDOWS_10_WIN32,MEDIUM
96,DATASET_2,FACE_DETECT,0,0,115,116,WINDOWS_10_WIN32,MEDIUM
97,DATASET_2,FACE_DETECT,0,0,117,119,WINDOWS_10_WIN32,MEDIUM
98,DATASET_2,FACE_DETECT,1,0,119,120,WINDOWS_10_WIN32,MEDIUM
99,DATASET_2,FACE_DETECT,0,0,121,123,WINDOWS_10_WIN32,MEDIUM
100,DATASET_2,FACE_DETECT,0,0,125,125,WINDOWS_10_WIN32,MEDIUM
101,DATASET_2,FACE_DETECT,0,0,124,128,WINDOWS_10_WIN32,MEDIUM
102,DATASET_2,FACE_DETECT,0,0,136,137,WINDOWS_10_WIN32,MEDIUM
103,DATASET_2,FACE_DETECT,0,0,138,140,WINDOWS_10_WIN32,MEDIUM
104,DATASET_2,FACE_DETECT,1,0,123,124,WINDOWS_10_WIN32,MEDIUM
105,DATASET_2,FACE_DETECT,0,0,115,116,WINDOWS_10_WIN32,MEDIUM
106,DATASET_2,FACE_DETECT,1,0,123,126,WINDOWS_10_WIN32,MEDIUM
107,DATASET_2,FACE_DETECT,1,0,124,126,WINDOWS_10_WIN32,MEDIUM
108,DATASET_2,FACE_DETECT,0,0,118,119,WINDOWS_10_WIN32,MEDIUM
109,DATASET_2,FACE_DETECT,0,0,127,130,WINDOWS_10_WIN32,MEDIUM
110,DATASET_2,FACE_DETECT,0,0,143,145,WINDOWS_10_WIN32,MEDIUM
111,DATASET_2,FACE_DETECT,0,0,126,127,WINDOWS_10_WIN32,MEDIUM
112,DATASET_2,FACE_DETECT,0,0,145,147,WINDOWS_10_WIN32,MEDIUM
113,DATASET_2,FACE_DETECT,2,0,112,113,WINDOWS_10_WIN32,MEDIUM
114,DATASET_2,FACE_DETECT,1,0,116,116,WINDOWS_10_WIN32,MEDIUM
115,DATASET_2,FACE_DETECT,0,0,125,127,WINDOWS_10_WIN32,MEDIUM
116,DATASET_2,FACE_DETECT,0,0,119,120,WINDOWS_10_WIN32,MEDIUM
117,DATASET_2,FACE_DETECT,0,0,125,128,WINDOWS_10_WIN32,MEDIUM
118,DATASET_2,FACE_DETECT,0,0,112,113,WINDOWS_10_WIN32,MEDIUM
119,DATASET_2,FACE_DETECT,0,0,134,136,WINDOWS_10_WIN32,MEDIUM
120,DATASET_2,FACE_DETECT,0,0,137,139,WINDOWS_10_WIN32,MEDIUM
121,DATASET_2,FACE_DETECT,0,0,161,162,WINDOWS_10_WIN32,MEDIUM
122,DATASET_2,FACE_DETECT,0,0,125,126,WINDOWS_10_WIN32,MEDIUM
123,DATASET_2,FACE_DETECT,0,0,118,119,WINDOWS_10_WIN32,MEDIUM
124,DATASET_2,FACE_DETECT,0,0,118,119,WINDOWS_10_WIN32,MEDIUM
125,DATASET_2,FACE_DETECT,0,0,116,118,WINDOWS_10_WIN32,MEDIUM
126,DATASET_2,FACE_DETECT,0,0,120,122,WINDOWS_10_WIN32,MEDIUM
127,DATASET_2,FACE_DETECT,0,0,125,128,WINDOWS_10_WIN32,MEDIUM
128,DATASET_2,FACE_DETECT,0,0,117,118,WINDOWS_10_WIN32,MEDIUM
129,DATASET_2,FACE_DETECT,0,0,167,168,WINDOWS_10_WIN32,MEDIUM
130,DATASET_2,FACE_DETECT,0,0,131,133,WINDOWS_10_WIN32,MEDIUM
131,DATASET_2,FACE_DETECT,0,0,133,135,WINDOWS_10_WIN32,MEDIUM
132,DATASET_2,FACE_DETECT,0,0,124,125,WINDOWS_10_WIN32,MEDIUM
133,DATASET_2,FACE_DETECT,0,0,123,125,WINDOWS_10_WIN32,MEDIUM
134,DATASET_2,FACE_DETECT,2,0,129,131,WINDOWS_10_WIN32,MEDIUM
135,DATASET_2,FACE_DETECT,2,0,127,128,WINDOWS_10_WIN32,MEDIUM
136,DATASET_2,FACE_DETECT,1,0,123,124,WINDOWS_10_WIN32,MEDIUM
137,DATASET_2,FACE_DETECT,1,0,131,132,WINDOWS_10_WIN32,MEDIUM
138,DATASET_2,FACE_DETECT,2,0,125,127,WINDOWS_10_WIN32,MEDIUM
139,DATASET_2,FACE_DETECT,1,0,127,128,WINDOWS_10_WIN32,MEDIUM
140,DATASET_2,FACE_DETECT,1,0,128,131,WINDOWS_10_WIN32,MEDIUM
141,DATASET_2,FACE_DETECT,2,0,138,140,WINDOWS_10_WIN32,MEDIUM
