id,dataset,workload,faces_detected,eyes_detected,process_time_ms,total_time_ms,system,resolution_label
0,DATASET_3,FACE_DETECT,0,0,478,630,Chrome_75_Windows,MEDIUM
1,DATASET_3,FACE_DETECT,0,0,673,690,Chrome_75_Windows,MEDIUM
2,DATASET_3,FACE_DETECT,0,0,757,773,Chrome_75_Windows,MEDIUM
3,DATASET_3,FACE_DETECT,0,0,630,675,Chrome_75_Windows,MEDIUM
4,DATASET_3,FACE_DETECT,0,0,665,688,Chrome_75_Windows,MEDIUM
5,DATASET_3,FACE_DETECT,2,0,447,480,Chrome_75_Windows,MEDIUM
6,DATASET_3,FACE_DETECT,3,0,421,444,Chrome_75_Windows,MEDIUM
7,DATASET_3,FACE_DETECT,3,0,393,418,Chrome_75_Windows,MEDIUM
8,DATASET_3,FACE_DETECT,3,0,399,425,Chrome_75_Windows,MEDIUM
9,DATASET_3,FACE_DETECT,2,0,397,427,Chrome_75_Windows,MEDIUM
10,DATASET_3,FACE_DETECT,1,0,384,412,Chrome_75_Windows,MEDIUM
11,DATASET_3,FACE_DETECT,1,0,383,413,Chrome_75_Windows,MEDIUM
12,DATASET_3,FACE_DETECT,1,0,380,408,Chrome_75_Windows,MEDIUM
13,DATASET_3,FACE_DETECT,2,0,397,421,Chrome_75_Windows,MEDIUM
14,DATASET_3,FACE_DETECT,2,0,402,428,Chrome_75_Windows,MEDIUM
15,DATASET_3,FACE_DETECT,1,0,383,412,Chrome_75_Windows,MEDIUM
16,DATASET_3,FACE_DETECT,1,0,403,429,Chrome_75_Windows,MEDIUM
17,DATASET_3,FACE_DETECT,2,0,381,407,Chrome_75_Windows,MEDIUM
18,DATASET_3,FACE_DETECT,2,0,432,459,Chrome_75_Windows,MEDIUM
19,DATASET_3,FACE_DETECT,2,0,395,422,Chrome_75_Windows,MEDIUM
20,DATASET_3,FACE_DETECT,3,0,398,427,Chrome_75_Windows,MEDIUM
21,DATASET_3,FACE_DETECT,2,0,396,421,Chrome_75_Windows,MEDIUM
22,DATASET_3,FACE_DETECT,2,0,402,427,Chrome_75_Windows,MEDIUM
23,DATASET_3,FACE_DETECT,2,0,388,413,Chrome_75_Windows,MEDIUM
24,DATASET_3,FACE_DETECT,1,0,387,410,Chrome_75_Windows,MEDIUM
25,DATASET_3,FACE_DETECT,3,0,381,405,Chrome_75_Windows,MEDIUM
26,DATASET_3,FACE_DETECT,2,0,392,417,Chrome_75_Windows,MEDIUM
27,DATASET_3,FACE_DETECT,2,0,396,421,Chrome_75_Windows,MEDIUM
28,DATASET_3,FACE_DETECT,1,0,393,418,Chrome_75_Windows,MEDIUM
29,DATASET_3,FACE_DETECT,2,0,399,434,Chrome_75_Windows,MEDIUM
30,DATASET_3,FACE_DETECT,0,0,396,425,Chrome_75_Windows,MEDIUM
31,DATASET_3,FACE_DETECT,0,0,395,420,Chrome_75_Windows,MEDIUM
32,DATASET_3,FACE_DETECT,0,0,397,424,Chrome_75_Windows,MEDIUM
33,DATASET_3,FACE_DETECT,0,0,402,425,Chrome_75_Windows,MEDIUM
34,DATASET_3,FACE_DETECT,1,0,387,415,Chrome_75_Windows,MEDIUM
35,DATASET_3,FACE_DETECT,2,0,391,424,Chrome_75_Windows,MEDIUM
36,DATASET_3,FACE_DETECT,2,0,395,421,Chrome_75_Windows,MEDIUM
37,DATASET_3,FACE_DETECT,2,0,396,423,Chrome_75_Windows,MEDIUM
38,DATASET_3,FACE_DETECT,1,0,373,397,Chrome_75_Windows,MEDIUM
39,DATASET_3,FACE_DETECT,1,0,387,413,Chrome_75_Windows,MEDIUM
40,DATASET_3,FACE_DETECT,1,0,374,399,Chrome_75_Windows,MEDIUM
41,DATASET_3,FACE_DETECT,0,0,389,417,Chrome_75_Windows,MEDIUM
42,DATASET_3,FACE_DETECT,0,0,416,441,Chrome_75_Windows,MEDIUM
43,DATASET_3,FACE_DETECT,0,0,389,413,Chrome_75_Windows,MEDIUM
44,DATASET_3,FACE_DETECT,0,0,334,357,Chrome_75_Windows,MEDIUM
45,DATASET_3,FACE_DETECT,0,0,651,674,Chrome_75_Windows,MEDIUM
46,DATASET_3,FACE_DETECT,0,0,623,646,Chrome_75_Windows,MEDIUM
47,DATASET_3,FACE_DETECT,1,0,555,580,Chrome_75_Windows,MEDIUM
48,DATASET_3,FACE_DETECT,1,0,525,549,Chrome_75_Windows,MEDIUM
49,DATASET_3,FACE_DETECT,1,0,532,556,Chrome_75_Windows,MEDIUM
50,DATASET_3,FACE_DETECT,1,0,551,576,Chrome_75_Windows,MEDIUM
51,DATASET_3,FACE_DETECT,1,0,529,553,Chrome_75_Windows,MEDIUM
52,DATASET_3,FACE_DETECT,1,0,508,535,Chrome_75_Windows,MEDIUM
53,DATASET_3,FACE_DETECT,1,0,525,549,Chrome_75_Windows,MEDIUM
54,DATASET_3,FACE_DETECT,1,0,523,546,Chrome_75_Windows,MEDIUM
55,DATASET_3,FACE_DETECT,1,0,514,537,Chrome_75_Windows,MEDIUM
56,DATASET_3,FACE_DETECT,1,0,542,568,Chrome_75_Windows,MEDIUM
57,DATASET_3,FACE_DETECT,1,0,531,557,Chrome_75_Windows,MEDIUM
58,DATASET_3,FACE_DETECT,1,0,504,531,Chrome_75_Windows,MEDIUM
59,DATASET_3,FACE_DETECT,1,0,541,569,Chrome_75_Windows,MEDIUM
60,DATASET_3,FACE_DETECT,1,0,536,564,Chrome_75_Windows,MEDIUM
61,DATASET_3,FACE_DETECT,1,0,590,615,Chrome_75_Windows,MEDIUM
62,DATASET_3,FACE_DETECT,1,0,542,571,Chrome_75_Windows,MEDIUM
63,DATASET_3,FACE_DETECT,1,0,565,594,Chrome_75_Windows,MEDIUM
64,DATASET_3,FACE_DETECT,2,0,563,592,Chrome_75_Windows,MEDIUM
65,DATASET_3,FACE_DETECT,1,0,636,669,Chrome_75_Windows,MEDIUM
66,DATASET_3,FACE_DETECT,1,0,596,624,Chrome_75_Windows,MEDIUM
67,DATASET_3,FACE_DETECT,1,0,576,604,Chrome_75_Windows,MEDIUM
68,DATASET_3,FACE_DETECT,1,0,581,613,Chrome_75_Windows,MEDIUM
69,DATASET_3,FACE_DETECT,1,0,573,602,Chrome_75_Windows,MEDIUM
70,DATASET_3,FACE_DETECT,1,0,565,595,Chrome_75_Windows,MEDIUM
71,DATASET_3,FACE_DETECT,1,0,579,609,Chrome_75_Windows,MEDIUM
72,DATASET_3,FACE_DETECT,1,0,578,607,Chrome_75_Windows,MEDIUM
73,DATASET_3,FACE_DETECT,1,0,561,593,Chrome_75_Windows,MEDIUM
74,DATASET_3,FACE_DETECT,1,0,567,596,Chrome_75_Windows,MEDIUM
75,DATASET_3,FACE_DETECT,1,0,589,621,Chrome_75_Windows,MEDIUM
