id,dataset,workload,faces_detected,eyes_detected,process_time_ms,total_time_ms,system,resolution_label
0,DATASET_1,FACE_DETECT,1,0,785,837,WINDOWS_10_WIN32,MEDIUM
1,DATASET_1,FACE_DETECT,1,0,109,110,WINDOWS_10_WIN32,MEDIUM
2,DATASET_1,FACE_DETECT,0,0,92,93,WINDOWS_10_WIN32,MEDIUM
3,DATASET_1,FACE_DETECT,1,0,108,109,WINDOWS_10_WIN32,MEDIUM
4,DATASET_1,FACE_DETECT,1,0,97,99,WINDOWS_10_WIN32,MEDIUM
5,DATASET_1,FACE_DETECT,1,0,107,108,WINDOWS_10_WIN32,MEDIUM
6,DATASET_1,FACE_DETECT,1,0,84,85,WINDOWS_10_WIN32,MEDIUM
7,DATASET_1,FACE_DETECT,1,0,89,92,WINDOWS_10_WIN32,MEDIUM
8,DATASET_1,FACE_DETECT,0,0,82,84,WINDOWS_10_WIN32,MEDIUM
9,DATASET_1,FACE_DETECT,0,0,91,94,WINDOWS_10_WIN32,MEDIUM
10,DATASET_1,FACE_DETECT,1,0,94,96,WINDOWS_10_WIN32,MEDIUM
11,DATASET_1,FACE_DETECT,1,0,101,104,WINDOWS_10_WIN32,MEDIUM
12,DATASET_1,FACE_DETECT,1,0,89,93,WINDOWS_10_WIN32,MEDIUM
13,DATASET_1,FACE_DETECT,1,0,84,85,WINDOWS_10_WIN32,MEDIUM
14,DATASET_1,FACE_DETECT,1,0,91,93,WINDOWS_10_WIN32,MEDIUM
15,DATASET_1,FACE_DETECT,1,0,91,93,WINDOWS_10_WIN32,MEDIUM
16,DATASET_1,FACE_DETECT,1,0,83,84,WINDOWS_10_WIN32,MEDIUM
17,DATASET_1,FACE_DETECT,1,0,88,89,WINDOWS_10_WIN32,MEDIUM
18,DATASET_1,FACE_DETECT,0,0,93,95,WINDOWS_10_WIN32,MEDIUM
19,DATASET_1,FACE_DETECT,1,0,85,87,WINDOWS_10_WIN32,MEDIUM
20,DATASET_1,FACE_DETECT,0,0,87,88,WINDOWS_10_WIN32,MEDIUM
21,DATASET_1,FACE_DETECT,1,0,95,97,WINDOWS_10_WIN32,MEDIUM
22,DATASET_1,FACE_DETECT,1,0,93,95,WINDOWS_10_WIN32,MEDIUM
23,DATASET_1,FACE_DETECT,1,0,90,92,WINDOWS_10_WIN32,MEDIUM
24,DATASET_1,FACE_DETECT,0,0,93,95,WINDOWS_10_WIN32,MEDIUM
25,DATASET_1,FACE_DETECT,1,0,108,111,WINDOWS_10_WIN32,MEDIUM
26,DATASET_1,FACE_DETECT,1,0,92,95,WINDOWS_10_WIN32,MEDIUM
27,DATASET_1,FACE_DETECT,1,0,94,95,WINDOWS_10_WIN32,MEDIUM
28,DATASET_1,FACE_DETECT,1,0,112,114,WINDOWS_10_WIN32,MEDIUM
29,DATASET_1,FACE_DETECT,0,0,120,123,WINDOWS_10_WIN32,MEDIUM
30,DATASET_1,FACE_DETECT,1,0,106,108,WINDOWS_10_WIN32,MEDIUM
31,DATASET_1,FACE_DETECT,0,0,104,105,WINDOWS_10_WIN32,MEDIUM
32,DATASET_1,FACE_DETECT,0,0,94,96,WINDOWS_10_WIN32,MEDIUM
33,DATASET_1,FACE_DETECT,1,0,88,89,WINDOWS_10_WIN32,MEDIUM
34,DATASET_1,FACE_DETECT,1,0,121,123,WINDOWS_10_WIN32,MEDIUM
35,DATASET_1,FACE_DETECT,1,0,110,111,WINDOWS_10_WIN32,MEDIUM
36,DATASET_1,FACE_DETECT,1,0,126,129,WINDOWS_10_WIN32,MEDIUM
37,DATASET_1,FACE_DETECT,1,0,117,118,WINDOWS_10_WIN32,MEDIUM
38,DATASET_1,FACE_DETECT,1,0,93,95,WINDOWS_10_WIN32,MEDIUM
39,DATASET_1,FACE_DETECT,1,0,88,90,WINDOWS_10_WIN32,MEDIUM
40,DATASET_1,FACE_DETECT,1,0,83,84,WINDOWS_10_WIN32,MEDIUM
41,DATASET_1,FACE_DETECT,1,0,96,98,WINDOWS_10_WIN32,MEDIUM
42,DATASET_1,FACE_DETECT,1,0,109,111,WINDOWS_10_WIN32,MEDIUM
43,DATASET_1,FACE_DETECT,1,0,109,111,WINDOWS_10_WIN32,MEDIUM
44,DATASET_1,FACE_DETECT,0,0,85,86,WINDOWS_10_WIN32,MEDIUM
45,DATASET_1,FACE_DETECT,0,0,91,94,WINDOWS_10_WIN32,MEDIUM
46,DATASET_1,FACE_DETECT,1,0,111,112,WINDOWS_10_WIN32,MEDIUM
47,DATASET_1,FACE_DETECT,1,0,88,89,WINDOWS_10_WIN32,MEDIUM
48,DATASET_1,FACE_DETECT,1,0,84,86,WINDOWS_10_WIN32,MEDIUM
49,DATASET_1,FACE_DETECT,0,0,92,95,WINDOWS_10_WIN32,MEDIUM
50,DATASET_1,FACE_DETECT,1,0,89,91,WINDOWS_10_WIN32,MEDIUM
51,DATASET_1,FACE_DETECT,0,0,80,81,WINDOWS_10_WIN32,MEDIUM
52,DATASET_1,FACE_DETECT,0,0,88,91,WINDOWS_10_WIN32,MEDIUM
53,DATASET_1,FACE_DETECT,0,0,95,97,WINDOWS_10_WIN32,MEDIUM
54,DATASET_1,FACE_DETECT,1,0,109,110,WINDOWS_10_WIN32,MEDIUM
55,DATASET_1,FACE_DETECT,1,0,82,83,WINDOWS_10_WIN32,MEDIUM
56,DATASET_1,FACE_DETECT,1,0,87,88,WINDOWS_10_WIN32,MEDIUM
57,DATASET_1,FACE_DETECT,1,0,90,91,WINDOWS_10_WIN32,MEDIUM
58,DATASET_1,FACE_DETECT,1,0,95,98,WINDOWS_10_WIN32,MEDIUM
59,DATASET_1,FACE_DETECT,1,0,96,97,WINDOWS_10_WIN32,MEDIUM
60,DATASET_1,FACE_DETECT,1,0,103,105,WINDOWS_10_WIN32,MEDIUM
61,DATASET_1,FACE_DETECT,1,0,86,88,WINDOWS_10_WIN32,MEDIUM
62,DATASET_1,FACE_DETECT,1,0,86,87,WINDOWS_10_WIN32,MEDIUM
63,DATASET_1,FACE_DETECT,1,0,88,90,WINDOWS_10_WIN32,MEDIUM
64,DATASET_1,FACE_DETECT,1,0,93,95,WINDOWS_10_WIN32,MEDIUM
65,DATASET_1,FACE_DETECT,1,0,90,92,WINDOWS_10_WIN32,MEDIUM
66,DATASET_1,FACE_DETECT,1,0,118,121,WINDOWS_10_WIN32,MEDIUM
67,DATASET_1,FACE_DETECT,1,0,104,105,WINDOWS_10_WIN32,MEDIUM
68,DATASET_1,FACE_DETECT,1,0,97,99,WINDOWS_10_WIN32,MEDIUM
69,DATASET_1,FACE_DETECT,1,0,109,110,WINDOWS_10_WIN32,MEDIUM
70,DATASET_1,FACE_DETECT,1,0,86,87,WINDOWS_10_WIN32,MEDIUM
71,DATASET_1,FACE_DETECT,1,0,95,99,WINDOWS_10_WIN32,MEDIUM
72,DATASET_1,FACE_DETECT,1,0,88,89,WINDOWS_10_WIN32,MEDIUM
73,DATASET_1,FACE_DETECT,1,0,123,125,WINDOWS_10_WIN32,MEDIUM
74,DATASET_1,FACE_DETECT,1,0,108,109,WINDOWS_10_WIN32,MEDIUM
75,DATASET_1,FACE_DETECT,1,0,93,95,WINDOWS_10_WIN32,MEDIUM
76,DATASET_1,FACE_DETECT,1,0,101,103,WINDOWS_10_WIN32,MEDIUM
77,DATASET_1,FACE_DETECT,0,0,90,91,WINDOWS_10_WIN32,MEDIUM
78,DATASET_1,FACE_DETECT,1,0,91,93,WINDOWS_10_WIN32,MEDIUM
79,DATASET_1,FACE_DETECT,1,0,96,98,WINDOWS_10_WIN32,MEDIUM
80,DATASET_1,FACE_DETECT,1,0,95,97,WINDOWS_10_WIN32,MEDIUM
81,DATASET_1,FACE_DETECT,1,0,92,93,WINDOWS_10_WIN32,MEDIUM
82,DATASET_1,FACE_DETECT,1,0,90,91,WINDOWS_10_WIN32,MEDIUM
83,DATASET_1,FACE_DETECT,1,0,86,88,WINDOWS_10_WIN32,MEDIUM
84,DATASET_1,FACE_DETECT,1,0,114,115,WINDOWS_10_WIN32,MEDIUM
85,DATASET_1,FACE_DETECT,1,0,99,100,WINDOWS_10_WIN32,MEDIUM
86,DATASET_1,FACE_DETECT,1,0,94,95,WINDOWS_10_WIN32,MEDIUM
87,DATASET_1,FACE_DETECT,0,0,112,115,WINDOWS_10_WIN32,MEDIUM
88,DATASET_1,FACE_DETECT,1,0,90,91,WINDOWS_10_WIN32,MEDIUM
89,DATASET_1,FACE_DETECT,0,0,96,98,WINDOWS_10_WIN32,MEDIUM
90,DATASET_1,FACE_DETECT,1,0,92,94,WINDOWS_10_WIN32,MEDIUM
91,DATASET_1,FACE_DETECT,0,0,88,89,WINDOWS_10_WIN32,MEDIUM
92,DATASET_1,FACE_DETECT,0,0,87,89,WINDOWS_10_WIN32,MEDIUM
93,DATASET_1,FACE_DETECT,2,0,109,110,WINDOWS_10_WIN32,MEDIUM
94,DATASET_1,FACE_DETECT,2,0,94,97,WINDOWS_10_WIN32,MEDIUM
95,DATASET_1,FACE_DETECT,1,0,105,108,WINDOWS_10_WIN32,MEDIUM
96,DATASET_1,FACE_DETECT,1,0,88,89,WINDOWS_10_WIN32,MEDIUM
97,DATASET_1,FACE_DETECT,1,0,83,84,WINDOWS_10_WIN32,MEDIUM
98,DATASET_1,FACE_DETECT,1,0,100,101,WINDOWS_10_WIN32,MEDIUM
99,DATASET_1,FACE_DETECT,2,0,94,96,WINDOWS_10_WIN32,MEDIUM
100,DATASET_1,FACE_DETECT,2,0,86,87,WINDOWS_10_WIN32,MEDIUM
101,DATASET_1,FACE_DETECT,2,0,88,89,WINDOWS_10_WIN32,MEDIUM
102,DATASET_1,FACE_DETECT,2,0,98,100,WINDOWS_10_WIN32,MEDIUM
103,DATASET_1,FACE_DETECT,2,0,109,111,WINDOWS_10_WIN32,MEDIUM
104,DATASET_1,FACE_DETECT,2,0,88,89,WINDOWS_10_WIN32,MEDIUM
105,DATASET_1,FACE_DETECT,2,0,120,122,WINDOWS_10_WIN32,MEDIUM
106,DATASET_1,FACE_DETECT,2,0,94,95,WINDOWS_10_WIN32,MEDIUM
107,DATASET_1,FACE_DETECT,2,0,148,150,WINDOWS_10_WIN32,MEDIUM
108,DATASET_1,FACE_DETECT,2,0,125,126,WINDOWS_10_WIN32,MEDIUM
109,DATASET_1,FACE_DETECT,2,0,107,108,WINDOWS_10_WIN32,MEDIUM
110,DATASET_1,FACE_DETECT,2,0,147,148,WINDOWS_10_WIN32,MEDIUM
111,DATASET_1,FACE_DETECT,1,0,223,225,WINDOWS_10_WIN32,MEDIUM
112,DATASET_1,FACE_DETECT,1,0,142,143,WINDOWS_10_WIN32,MEDIUM
113,DATASET_1,FACE_DETECT,1,0,132,133,WINDOWS_10_WIN32,MEDIUM
114,DATASET_1,FACE_DETECT,1,0,119,121,WINDOWS_10_WIN32,MEDIUM
115,DATASET_1,FACE_DETECT,1,0,107,108,WINDOWS_10_WIN32,MEDIUM
116,DATASET_1,FACE_DETECT,1,0,103,104,WINDOWS_10_WIN32,MEDIUM
117,DATASET_1,FACE_DETECT,1,0,129,130,WINDOWS_10_WIN32,MEDIUM
