id,dataset,workload,faces_detected,eyes_detected,process_time_ms,pre_time_ms,tag_time_ms,pos_time_ms,total_time_ms,system,resolution_label
0,DATASET_2,FACE_DETECT,0,0,585,5, 0, 2, 640,WINDOWS_10_WIN32,LARGE
1,DATASET_2,FACE_DETECT,0,0,269,12, 0, 2, 287,WINDOWS_10_WIN32,LARGE
2,DATASET_2,FACE_DETECT,1,0,247,3, 0, 2, 256,WINDOWS_10_WIN32,LARGE
3,DATASET_2,FACE_DETECT,0,0,253,9, 0, 2, 270,WINDOWS_10_WIN32,LARGE
4,DATASET_2,FACE_DETECT,0,0,258,4, 0, 2, 268,WINDOWS_10_WIN32,LARGE
5,DATASET_2,FACE_DETECT,1,0,269,3, 0, 2, 278,WINDOWS_10_WIN32,LARGE
6,DATASET_2,FACE_DETECT,0,0,255,8, 0, 2, 268,WINDOWS_10_WIN32,LARGE
7,DATASET_2,FACE_DETECT,1,0,254,6, 0, 2, 266,WINDOWS_10_WIN32,LARGE
8,DATASET_2,FACE_DETECT,0,0,262,11, 0, 2, 281,WINDOWS_10_WIN32,LARGE
9,DATASET_2,FACE_DETECT,1,0,256,4, 0, 2, 266,WINDOWS_10_WIN32,LARGE
10,DATASET_2,FACE_DETECT,2,0,258,4, 0, 2, 269,WINDOWS_10_WIN32,LARGE
11,DATASET_2,FACE_DETECT,1,0,260,6, 0, 2, 274,WINDOWS_10_WIN32,LARGE
12,DATASET_2,FACE_DETECT,1,0,285,6, 0, 2, 297,WINDOWS_10_WIN32,LARGE
13,DATASET_2,FACE_DETECT,1,0,252,3, 0, 2, 261,WINDOWS_10_WIN32,LARGE
14,DATASET_2,FACE_DETECT,1,0,261,9, 0, 2, 277,WINDOWS_10_WIN32,LARGE
15,DATASET_2,FACE_DETECT,1,0,261,6, 0, 2, 273,WINDOWS_10_WIN32,LARGE
16,DATASET_2,FACE_DETECT,1,0,289,8, 0, 2, 304,WINDOWS_10_WIN32,LARGE
17,DATASET_2,FACE_DETECT,3,0,295,4, 0, 2, 305,WINDOWS_10_WIN32,LARGE
18,DATASET_2,FACE_DETECT,2,0,290,9, 0, 4, 308,WINDOWS_10_WIN32,LARGE
19,DATASET_2,FACE_DETECT,1,0,312,11, 0, 2, 331,WINDOWS_10_WIN32,LARGE
20,DATASET_2,FACE_DETECT,4,0,303,6, 0, 2, 316,WINDOWS_10_WIN32,LARGE
21,DATASET_2,FACE_DETECT,1,0,306,3, 0, 2, 314,WINDOWS_10_WIN32,LARGE
22,DATASET_2,FACE_DETECT,1,0,284,9, 0, 2, 301,WINDOWS_10_WIN32,LARGE
23,DATASET_2,FACE_DETECT,2,0,297,4, 0, 2, 307,WINDOWS_10_WIN32,LARGE
24,DATASET_2,FACE_DETECT,1,0,289,13, 0, 2, 310,WINDOWS_10_WIN32,LARGE
25,DATASET_2,FACE_DETECT,3,0,292,9, 0, 2, 307,WINDOWS_10_WIN32,LARGE
26,DATASET_2,FACE_DETECT,1,0,284,14, 0, 2, 306,WINDOWS_10_WIN32,LARGE
27,DATASET_2,FACE_DETECT,2,0,301,9, 0, 2, 317,WINDOWS_10_WIN32,LARGE
28,DATASET_2,FACE_DETECT,2,0,302,4, 0, 2, 313,WINDOWS_10_WIN32,LARGE
29,DATASET_2,FACE_DETECT,1,0,267,4, 0, 2, 279,WINDOWS_10_WIN32,LARGE
30,DATASET_2,FACE_DETECT,0,0,261,3, 0, 2, 269,WINDOWS_10_WIN32,LARGE
31,DATASET_2,FACE_DETECT,1,0,276,5, 0, 2, 287,WINDOWS_10_WIN32,LARGE
32,DATASET_2,FACE_DETECT,1,0,273,5, 0, 2, 283,WINDOWS_10_WIN32,LARGE
33,DATASET_2,FACE_DETECT,1,0,269,5, 0, 2, 280,WINDOWS_10_WIN32,LARGE
34,DATASET_2,FACE_DETECT,1,0,260,4, 0, 2, 270,WINDOWS_10_WIN32,LARGE
35,DATASET_2,FACE_DETECT,1,0,272,4, 0, 2, 281,WINDOWS_10_WIN32,LARGE
36,DATASET_2,FACE_DETECT,1,0,270,6, 0, 2, 283,WINDOWS_10_WIN32,LARGE
37,DATASET_2,FACE_DETECT,1,0,270,3, 0, 2, 279,WINDOWS_10_WIN32,LARGE
38,DATASET_2,FACE_DETECT,0,0,281,4, 0, 2, 290,WINDOWS_10_WIN32,LARGE
39,DATASET_2,FACE_DETECT,0,0,291,5, 0, 2, 301,WINDOWS_10_WIN32,LARGE
40,DATASET_2,FACE_DETECT,0,0,318,5, 0, 2, 329,WINDOWS_10_WIN32,LARGE
41,DATASET_2,FACE_DETECT,0,0,297,5, 0, 2, 308,WINDOWS_10_WIN32,LARGE
