id,dataset,workload,faces_detected,eyes_detected,process_time_ms,pre_time_ms,tag_time_ms,pos_time_ms,total_time_ms,system,resolution_label
0,DATASET_2,FACE_DETECT,0,0,416,3, 0, 0, 442,Firefox_68_Windows,MEDIUM
1,DATASET_2,FACE_DETECT,1,0,430,3, 0, 0, 451,Firefox_68_Windows,MEDIUM
2,DATASET_2,FACE_DETECT,1,0,418,1, 0, 0, 437,Firefox_68_Windows,MEDIUM
3,DATASET_2,FACE_DETECT,1,0,412,2, 0, 0, 442,Firefox_68_Windows,MEDIUM
4,DATASET_2,FACE_DETECT,0,0,462,1, 0, 0, 482,Firefox_68_Windows,MEDIUM
5,DATASET_2,FACE_DETECT,0,0,438,2, 0, 0, 458,Firefox_68_Windows,MEDIUM
6,DATASET_2,FACE_DETECT,0,0,467,1, 0, 0, 488,Firefox_68_Windows,MEDIUM
7,DATASET_2,FACE_DETECT,1,0,418,2, 0, 0, 438,Firefox_68_Windows,MEDIUM
8,DATASET_2,FACE_DETECT,0,0,443,2, 0, 0, 466,Firefox_68_Windows,MEDIUM
9,DATASET_2,FACE_DETECT,3,0,415,1, 0, 0, 437,Firefox_68_Windows,MEDIUM
10,DATASET_2,FACE_DETECT,1,0,414,2, 0, 0, 436,Firefox_68_Windows,MEDIUM
11,DATASET_2,FACE_DETECT,1,0,409,1, 0, 0, 428,Firefox_68_Windows,MEDIUM
12,DATASET_2,FACE_DETECT,3,0,392,1, 1, 0, 414,Firefox_68_Windows,MEDIUM
13,DATASET_2,FACE_DETECT,2,0,404,1, 0, 0, 424,Firefox_68_Windows,MEDIUM
14,DATASET_2,FACE_DETECT,1,0,403,3, 0, 0, 427,Firefox_68_Windows,MEDIUM
15,DATASET_2,FACE_DETECT,1,0,458,3, 0, 0, 479,Firefox_68_Windows,MEDIUM
16,DATASET_2,FACE_DETECT,0,0,440,1, 0, 0, 459,Firefox_68_Windows,MEDIUM
17,DATASET_2,FACE_DETECT,0,0,454,2, 0, 0, 475,Firefox_68_Windows,MEDIUM
18,DATASET_2,FACE_DETECT,0,0,456,1, 0, 0, 477,Firefox_68_Windows,MEDIUM
19,DATASET_2,FACE_DETECT,0,0,437,2, 0, 0, 459,Firefox_68_Windows,MEDIUM
20,DATASET_2,FACE_DETECT,0,0,440,3, 0, 0, 462,Firefox_68_Windows,MEDIUM
21,DATASET_2,FACE_DETECT,0,0,432,1, 0, 0, 454,Firefox_68_Windows,MEDIUM
22,DATASET_2,FACE_DETECT,2,0,479,3, 0, 0, 503,Firefox_68_Windows,MEDIUM
23,DATASET_2,FACE_DETECT,1,0,481,1, 0, 0, 510,Firefox_68_Windows,MEDIUM
24,DATASET_2,FACE_DETECT,0,0,512,2, 0, 0, 542,Firefox_68_Windows,MEDIUM
25,DATASET_2,FACE_DETECT,0,0,450,1, 0, 0, 486,Firefox_68_Windows,MEDIUM
26,DATASET_2,FACE_DETECT,0,0,384,2, 0, 0, 419,Firefox_68_Windows,MEDIUM
27,DATASET_2,FACE_DETECT,1,0,380,2, 0, 0, 410,Firefox_68_Windows,MEDIUM
28,DATASET_2,FACE_DETECT,1,0,368,2, 0, 0, 397,Firefox_68_Windows,MEDIUM
29,DATASET_2,FACE_DETECT,2,0,395,1, 0, 0, 425,Firefox_68_Windows,MEDIUM
30,DATASET_2,FACE_DETECT,1,0,433,2, 0, 0, 462,Firefox_68_Windows,MEDIUM
31,DATASET_2,FACE_DETECT,1,0,406,1, 0, 0, 438,Firefox_68_Windows,MEDIUM
32,DATASET_2,FACE_DETECT,1,0,403,2, 0, 0, 435,Firefox_68_Windows,MEDIUM
33,DATASET_2,FACE_DETECT,1,0,413,2, 0, 0, 448,Firefox_68_Windows,MEDIUM
34,DATASET_2,FACE_DETECT,1,0,411,2, 0, 0, 442,Firefox_68_Windows,MEDIUM
35,DATASET_2,FACE_DETECT,1,0,411,1, 0, 0, 448,Firefox_68_Windows,MEDIUM
