id,dataset,workload,faces_detected,eyes_detected,process_time_ms,pre_time_ms,tag_time_ms,pos_time_ms,total_time_ms,system,resolution_label
0,DATASET_2,FACE_DETECT,0,0,241,1, 0, 0, 254,Chrome_75_Windows,SMALL
1,DATASET_2,FACE_DETECT,0,0,294,0, 0, 0, 306,Chrome_75_Windows,SMALL
2,DATASET_2,FACE_DETECT,0,0,241,0, 0, 0, 256,Chrome_75_Windows,SMALL
3,DATASET_2,FACE_DETECT,0,0,236,0, 0, 0, 267,Chrome_75_Windows,SMALL
4,DATASET_2,FACE_DETECT,0,0,241,0, 0, 0, 257,Chrome_75_Windows,SMALL
5,DATASET_2,FACE_DETECT,0,0,238,0, 0, 0, 264,Chrome_75_Windows,SMALL
6,DATASET_2,FACE_DETECT,0,0,242,0, 0, 0, 265,Chrome_75_Windows,SMALL
7,DATASET_2,FACE_DETECT,0,0,259,0, 0, 0, 288,Chrome_75_Windows,SMALL
8,DATASET_2,FACE_DETECT,0,0,244,0, 0, 0, 263,Chrome_75_Windows,SMALL
9,DATASET_2,FACE_DETECT,0,0,257,0, 0, 0, 279,Chrome_75_Windows,SMALL
10,DATASET_2,FACE_DETECT,0,0,258,0, 0, 0, 274,Chrome_75_Windows,SMALL
11,DATASET_2,FACE_DETECT,0,0,274,0, 0, 0, 292,Chrome_75_Windows,SMALL
12,DATASET_2,FACE_DETECT,0,0,272,0, 0, 0, 292,Chrome_75_Windows,SMALL
13,DATASET_2,FACE_DETECT,0,0,265,0, 0, 0, 286,Chrome_75_Windows,SMALL
14,DATASET_2,FACE_DETECT,0,0,240,0, 0, 0, 260,Chrome_75_Windows,SMALL
15,DATASET_2,FACE_DETECT,0,0,248,0, 0, 0, 273,Chrome_75_Windows,SMALL
16,DATASET_2,FACE_DETECT,1,0,238,0, 0, 0, 255,Chrome_75_Windows,SMALL
17,DATASET_2,FACE_DETECT,1,0,250,0, 0, 0, 285,Chrome_75_Windows,SMALL
18,DATASET_2,FACE_DETECT,1,0,241,0, 0, 0, 261,Chrome_75_Windows,SMALL
19,DATASET_2,FACE_DETECT,1,0,259,0, 0, 0, 284,Chrome_75_Windows,SMALL
20,DATASET_2,FACE_DETECT,2,0,261,0, 0, 0, 284,Chrome_75_Windows,SMALL
21,DATASET_2,FACE_DETECT,2,0,325,0, 0, 0, 346,Chrome_75_Windows,SMALL
22,DATASET_2,FACE_DETECT,2,0,256,0, 0, 0, 276,Chrome_75_Windows,SMALL
23,DATASET_2,FACE_DETECT,2,0,272,0, 0, 0, 289,Chrome_75_Windows,SMALL
24,DATASET_2,FACE_DETECT,1,0,322,0, 0, 0, 345,Chrome_75_Windows,SMALL
25,DATASET_2,FACE_DETECT,0,0,309,0, 0, 0, 329,Chrome_75_Windows,SMALL
26,DATASET_2,FACE_DETECT,0,0,272,0, 0, 0, 293,Chrome_75_Windows,SMALL
27,DATASET_2,FACE_DETECT,0,0,257,0, 0, 0, 280,Chrome_75_Windows,SMALL
28,DATASET_2,FACE_DETECT,0,0,271,0, 0, 0, 290,Chrome_75_Windows,SMALL
29,DATASET_2,FACE_DETECT,0,0,271,0, 0, 0, 294,Chrome_75_Windows,SMALL
30,DATASET_2,FACE_DETECT,0,0,260,0, 0, 0, 279,Chrome_75_Windows,SMALL
31,DATASET_2,FACE_DETECT,0,0,254,0, 0, 0, 278,Chrome_75_Windows,SMALL
32,DATASET_2,FACE_DETECT,0,0,266,0, 0, 0, 284,Chrome_75_Windows,SMALL
33,DATASET_2,FACE_DETECT,0,0,279,0, 0, 0, 297,Chrome_75_Windows,SMALL
34,DATASET_2,FACE_DETECT,0,0,277,0, 0, 0, 281,Chrome_75_Windows,SMALL
35,DATASET_2,FACE_DETECT,0,0,278,0, 0, 0, 306,Chrome_75_Windows,SMALL
36,DATASET_2,FACE_DETECT,0,0,283,0, 0, 0, 310,Chrome_75_Windows,SMALL
37,DATASET_2,FACE_DETECT,0,0,266,0, 0, 0, 288,Chrome_75_Windows,SMALL
38,DATASET_2,FACE_DETECT,0,0,281,0, 0, 0, 303,Chrome_75_Windows,SMALL
39,DATASET_2,FACE_DETECT,0,0,258,0, 0, 0, 285,Chrome_75_Windows,SMALL
40,DATASET_2,FACE_DETECT,0,0,286,0, 0, 0, 311,Chrome_75_Windows,SMALL
41,DATASET_2,FACE_DETECT,0,0,247,0, 0, 0, 275,Chrome_75_Windows,SMALL
42,DATASET_2,FACE_DETECT,0,0,248,0, 0, 0, 274,Chrome_75_Windows,SMALL
43,DATASET_2,FACE_DETECT,0,0,243,0, 0, 0, 270,Chrome_75_Windows,SMALL
44,DATASET_2,FACE_DETECT,0,0,242,0, 0, 0, 266,Chrome_75_Windows,SMALL
45,DATASET_2,FACE_DETECT,0,0,240,0, 0, 0, 256,Chrome_75_Windows,SMALL
46,DATASET_2,FACE_DETECT,0,0,248,0, 0, 0, 252,Chrome_75_Windows,SMALL
47,DATASET_2,FACE_DETECT,0,0,243,0, 0, 0, 248,Chrome_75_Windows,SMALL
48,DATASET_2,FACE_DETECT,0,0,246,0, 0, 0, 270,Chrome_75_Windows,SMALL
49,DATASET_2,FACE_DETECT,0,0,240,0, 0, 0, 263,Chrome_75_Windows,SMALL
50,DATASET_2,FACE_DETECT,0,0,238,0, 0, 0, 264,Chrome_75_Windows,SMALL
51,DATASET_2,FACE_DETECT,0,0,242,0, 0, 0, 266,Chrome_75_Windows,SMALL
