id,dataset,workload,faces_detected,eyes_detected,process_time_ms,total_time_ms,system,resolution_label
0,DATASET_2,FACE_DETECT,0,0,171,213,Firefox_67_Windows,SMALL
1,DATASET_2,FACE_DETECT,0,0,164,204,Firefox_67_Windows,SMALL
2,DATASET_2,FACE_DETECT,0,0,166,204,Firefox_67_Windows,SMALL
3,DATASET_2,FACE_DETECT,0,0,159,199,Firefox_67_Windows,SMALL
4,DATASET_2,FACE_DETECT,0,0,204,241,Firefox_67_Windows,SMALL
5,DATASET_2,FACE_DETECT,0,0,158,207,Firefox_67_Windows,SMALL
6,DATASET_2,FACE_DETECT,0,0,160,197,Firefox_67_Windows,SMALL
7,DATASET_2,FACE_DETECT,0,0,161,198,Firefox_67_Windows,SMALL
8,DATASET_2,FACE_DETECT,0,0,169,207,Firefox_67_Windows,SMALL
9,DATASET_2,FACE_DETECT,0,0,168,208,Firefox_67_Windows,SMALL
10,DATASET_2,FACE_DETECT,0,0,168,204,Firefox_67_Windows,SMALL
11,DATASET_2,FACE_DETECT,0,0,166,204,Firefox_67_Windows,SMALL
12,DATASET_2,FACE_DETECT,0,0,166,203,Firefox_67_Windows,SMALL
13,DATASET_2,FACE_DETECT,0,0,173,221,Firefox_67_Windows,SMALL
14,DATASET_2,FACE_DETECT,0,0,166,202,Firefox_67_Windows,SMALL
15,DATASET_2,FACE_DETECT,1,0,169,205,Firefox_67_Windows,SMALL
16,DATASET_2,FACE_DETECT,0,0,167,204,Firefox_67_Windows,SMALL
17,DATASET_2,FACE_DETECT,1,0,168,204,Firefox_67_Windows,SMALL
18,DATASET_2,FACE_DETECT,0,0,163,202,Firefox_67_Windows,SMALL
19,DATASET_2,FACE_DETECT,0,0,168,206,Firefox_67_Windows,SMALL
20,DATASET_2,FACE_DETECT,1,0,158,194,Firefox_67_Windows,SMALL
21,DATASET_2,FACE_DETECT,1,0,164,202,Firefox_67_Windows,SMALL
22,DATASET_2,FACE_DETECT,1,0,161,197,Firefox_67_Windows,SMALL
23,DATASET_2,FACE_DETECT,1,0,159,196,Firefox_67_Windows,SMALL
24,DATASET_2,FACE_DETECT,1,0,159,195,Firefox_67_Windows,SMALL
25,DATASET_2,FACE_DETECT,2,0,158,196,Firefox_67_Windows,SMALL
26,DATASET_2,FACE_DETECT,2,0,166,204,Firefox_67_Windows,SMALL
27,DATASET_2,FACE_DETECT,2,0,154,192,Firefox_67_Windows,SMALL
28,DATASET_2,FACE_DETECT,2,0,157,194,Firefox_67_Windows,SMALL
29,DATASET_2,FACE_DETECT,2,0,156,195,Firefox_67_Windows,SMALL
30,DATASET_2,FACE_DETECT,2,0,162,200,Firefox_67_Windows,SMALL
31,DATASET_2,FACE_DETECT,2,0,159,197,Firefox_67_Windows,SMALL
32,DATASET_2,FACE_DETECT,0,0,173,211,Firefox_67_Windows,SMALL
33,DATASET_2,FACE_DETECT,0,0,173,210,Firefox_67_Windows,SMALL
34,DATASET_2,FACE_DETECT,0,0,171,208,Firefox_67_Windows,SMALL
35,DATASET_2,FACE_DETECT,0,0,170,206,Firefox_67_Windows,SMALL
36,DATASET_2,FACE_DETECT,0,0,170,208,Firefox_67_Windows,SMALL
37,DATASET_2,FACE_DETECT,0,0,167,204,Firefox_67_Windows,SMALL
38,DATASET_2,FACE_DETECT,0,0,173,207,Firefox_67_Windows,SMALL
39,DATASET_2,FACE_DETECT,0,0,175,214,Firefox_67_Windows,SMALL
40,DATASET_2,FACE_DETECT,0,0,171,208,Firefox_67_Windows,SMALL
41,DATASET_2,FACE_DETECT,0,0,170,209,Firefox_67_Windows,SMALL
42,DATASET_2,FACE_DETECT,0,0,167,204,Firefox_67_Windows,SMALL
43,DATASET_2,FACE_DETECT,0,0,179,214,Firefox_67_Windows,SMALL
44,DATASET_2,FACE_DETECT,0,0,169,205,Firefox_67_Windows,SMALL
45,DATASET_2,FACE_DETECT,0,0,209,243,Firefox_67_Windows,SMALL
46,DATASET_2,FACE_DETECT,0,0,164,202,Firefox_67_Windows,SMALL
47,DATASET_2,FACE_DETECT,0,0,168,204,Firefox_67_Windows,SMALL
48,DATASET_2,FACE_DETECT,0,0,185,220,Firefox_67_Windows,SMALL
49,DATASET_2,FACE_DETECT,0,0,164,203,Firefox_67_Windows,SMALL
50,DATASET_2,FACE_DETECT,0,0,163,201,Firefox_67_Windows,SMALL
51,DATASET_2,FACE_DETECT,0,0,168,205,Firefox_67_Windows,SMALL
52,DATASET_2,FACE_DETECT,0,0,163,199,Firefox_67_Windows,SMALL
53,DATASET_2,FACE_DETECT,0,0,185,238,Firefox_67_Windows,SMALL
54,DATASET_2,FACE_DETECT,1,0,162,215,Firefox_67_Windows,SMALL
55,DATASET_2,FACE_DETECT,0,0,160,196,Firefox_67_Windows,SMALL
56,DATASET_2,FACE_DETECT,0,0,165,200,Firefox_67_Windows,SMALL
57,DATASET_2,FACE_DETECT,0,0,166,202,Firefox_67_Windows,SMALL
58,DATASET_2,FACE_DETECT,0,0,162,198,Firefox_67_Windows,SMALL
59,DATASET_2,FACE_DETECT,1,0,160,196,Firefox_67_Windows,SMALL
60,DATASET_2,FACE_DETECT,0,0,163,211,Firefox_67_Windows,SMALL
61,DATASET_2,FACE_DETECT,1,0,155,192,Firefox_67_Windows,SMALL
62,DATASET_2,FACE_DETECT,1,0,157,194,Firefox_67_Windows,SMALL
63,DATASET_2,FACE_DETECT,1,0,153,190,Firefox_67_Windows,SMALL
64,DATASET_2,FACE_DETECT,1,0,160,197,Firefox_67_Windows,SMALL
65,DATASET_2,FACE_DETECT,1,0,159,196,Firefox_67_Windows,SMALL
66,DATASET_2,FACE_DETECT,1,0,161,198,Firefox_67_Windows,SMALL
67,DATASET_2,FACE_DETECT,1,0,161,197,Firefox_67_Windows,SMALL
68,DATASET_2,FACE_DETECT,0,0,165,201,Firefox_67_Windows,SMALL
69,DATASET_2,FACE_DETECT,1,0,181,217,Firefox_67_Windows,SMALL
70,DATASET_2,FACE_DETECT,1,0,171,207,Firefox_67_Windows,SMALL
71,DATASET_2,FACE_DETECT,1,0,166,204,Firefox_67_Windows,SMALL
72,DATASET_2,FACE_DETECT,1,0,170,207,Firefox_67_Windows,SMALL
73,DATASET_2,FACE_DETECT,0,0,176,237,Firefox_67_Windows,SMALL
74,DATASET_2,FACE_DETECT,0,0,165,204,Firefox_67_Windows,SMALL
75,DATASET_2,FACE_DETECT,1,0,165,202,Firefox_67_Windows,SMALL
76,DATASET_2,FACE_DETECT,0,0,166,203,Firefox_67_Windows,SMALL
77,DATASET_2,FACE_DETECT,1,0,166,201,Firefox_67_Windows,SMALL
78,DATASET_2,FACE_DETECT,2,0,169,206,Firefox_67_Windows,SMALL
79,DATASET_2,FACE_DETECT,1,0,170,208,Firefox_67_Windows,SMALL
80,DATASET_2,FACE_DETECT,1,0,165,203,Firefox_67_Windows,SMALL
81,DATASET_2,FACE_DETECT,1,0,170,208,Firefox_67_Windows,SMALL
82,DATASET_2,FACE_DETECT,1,0,174,210,Firefox_67_Windows,SMALL
83,DATASET_2,FACE_DETECT,1,0,171,207,Firefox_67_Windows,SMALL
84,DATASET_2,FACE_DETECT,1,0,169,208,Firefox_67_Windows,SMALL
85,DATASET_2,FACE_DETECT,1,0,169,225,Firefox_67_Windows,SMALL
86,DATASET_2,FACE_DETECT,1,0,172,211,Firefox_67_Windows,SMALL
87,DATASET_2,FACE_DETECT,1,0,169,205,Firefox_67_Windows,SMALL
88,DATASET_2,FACE_DETECT,1,0,170,222,Firefox_67_Windows,SMALL
89,DATASET_2,FACE_DETECT,2,0,161,199,Firefox_67_Windows,SMALL
90,DATASET_2,FACE_DETECT,2,0,158,194,Firefox_67_Windows,SMALL
91,DATASET_2,FACE_DETECT,2,0,160,197,Firefox_67_Windows,SMALL
92,DATASET_2,FACE_DETECT,3,0,163,200,Firefox_67_Windows,SMALL
93,DATASET_2,FACE_DETECT,2,0,163,199,Firefox_67_Windows,SMALL
94,DATASET_2,FACE_DETECT,2,0,162,200,Firefox_67_Windows,SMALL
95,DATASET_2,FACE_DETECT,2,0,161,196,Firefox_67_Windows,SMALL
96,DATASET_2,FACE_DETECT,2,0,161,198,Firefox_67_Windows,SMALL
97,DATASET_2,FACE_DETECT,2,0,163,199,Firefox_67_Windows,SMALL
98,DATASET_2,FACE_DETECT,3,0,160,197,Firefox_67_Windows,SMALL
99,DATASET_2,FACE_DETECT,2,0,159,213,Firefox_67_Windows,SMALL
100,DATASET_2,FACE_DETECT,2,0,160,196,Firefox_67_Windows,SMALL
101,DATASET_2,FACE_DETECT,2,0,190,227,Firefox_67_Windows,SMALL
