id,dataset,workload,faces_detected,eyes_detected,process_time_ms,pre_time_ms,tag_time_ms,pos_time_ms,total_time_ms,system,resolution_label
0,DATASET_3,FACE_DETECT,0,0,1265,6, 0, 0, 1305,Chrome_75_Windows,LARGE
1,DATASET_3,FACE_DETECT,0,0,1724,8, 0, 0, 1765,Chrome_75_Windows,LARGE
2,DATASET_3,FACE_DETECT,2,0,783,13, 0, 0, 844,Chrome_75_Windows,LARGE
3,DATASET_3,FACE_DETECT,4,0,773,3, 0, 0, 834,Chrome_75_Windows,LARGE
4,DATASET_3,FACE_DETECT,3,0,785,4, 0, 0, 822,Chrome_75_Windows,LARGE
5,DATASET_3,FACE_DETECT,2,0,809,4, 0, 0, 846,Chrome_75_Windows,LARGE
6,DATASET_3,FACE_DETECT,1,0,835,3, 0, 0, 872,Chrome_75_Windows,LARGE
7,DATASET_3,FACE_DETECT,2,0,769,3, 0, 0, 804,Chrome_75_Windows,LARGE
8,DATASET_3,FACE_DETECT,2,0,799,3, 0, 0, 835,Chrome_75_Windows,LARGE
9,DATASET_3,FACE_DETECT,2,0,811,3, 0, 0, 845,Chrome_75_Windows,LARGE
10,DATASET_3,FACE_DETECT,3,0,778,4, 0, 0, 820,Chrome_75_Windows,LARGE
11,DATASET_3,FACE_DETECT,2,0,766,3, 0, 0, 810,Chrome_75_Windows,LARGE
12,DATASET_3,FACE_DETECT,2,0,763,3, 0, 0, 796,Chrome_75_Windows,LARGE
13,DATASET_3,FACE_DETECT,0,0,387,4, 0, 0, 424,Chrome_75_Windows,LARGE
14,DATASET_3,FACE_DETECT,2,0,789,3, 0, 0, 827,Chrome_75_Windows,LARGE
15,DATASET_3,FACE_DETECT,2,0,768,3, 0, 0, 806,Chrome_75_Windows,LARGE
16,DATASET_3,FACE_DETECT,0,0,784,3, 0, 0, 818,Chrome_75_Windows,LARGE
17,DATASET_3,FACE_DETECT,1,0,810,5, 0, 0, 845,Chrome_75_Windows,LARGE
18,DATASET_3,FACE_DETECT,1,0,794,3, 0, 0, 831,Chrome_75_Windows,LARGE
19,DATASET_3,FACE_DETECT,2,0,869,3, 0, 0, 906,Chrome_75_Windows,LARGE
20,DATASET_3,FACE_DETECT,2,0,886,3, 0, 0, 931,Chrome_75_Windows,LARGE
21,DATASET_3,FACE_DETECT,2,0,876,5, 0, 0, 919,Chrome_75_Windows,LARGE
22,DATASET_3,FACE_DETECT,1,0,862,3, 0, 0, 900,Chrome_75_Windows,LARGE
23,DATASET_3,FACE_DETECT,0,0,1838,3, 0, 0, 1872,Chrome_75_Windows,LARGE
24,DATASET_3,FACE_DETECT,1,0,1271,3, 0, 0, 1310,Chrome_75_Windows,LARGE
25,DATASET_3,FACE_DETECT,2,0,1217,3, 0, 0, 1253,Chrome_75_Windows,LARGE
26,DATASET_3,FACE_DETECT,3,0,1256,3, 0, 0, 1293,Chrome_75_Windows,LARGE
27,DATASET_3,FACE_DETECT,2,0,1345,3, 0, 0, 1384,Chrome_75_Windows,LARGE
28,DATASET_3,FACE_DETECT,1,0,1162,3, 0, 0, 1200,Chrome_75_Windows,LARGE
29,DATASET_3,FACE_DETECT,1,0,1122,3, 0, 0, 1162,Chrome_75_Windows,LARGE
30,DATASET_3,FACE_DETECT,1,0,1110,3, 0, 0, 1147,Chrome_75_Windows,LARGE
31,DATASET_3,FACE_DETECT,1,0,1092,3, 0, 0, 1132,Chrome_75_Windows,LARGE
32,DATASET_3,FACE_DETECT,2,0,1114,3, 0, 0, 1154,Chrome_75_Windows,LARGE
33,DATASET_3,FACE_DETECT,3,0,1112,3, 0, 0, 1147,Chrome_75_Windows,LARGE
34,DATASET_3,FACE_DETECT,2,0,1147,3, 0, 0, 1189,Chrome_75_Windows,LARGE
35,DATASET_3,FACE_DETECT,1,0,1124,3, 0, 0, 1164,Chrome_75_Windows,LARGE
36,DATASET_3,FACE_DETECT,2,0,1211,4, 0, 0, 1262,Chrome_75_Windows,LARGE
37,DATASET_3,FACE_DETECT,2,0,1147,3, 0, 0, 1187,Chrome_75_Windows,LARGE
38,DATASET_3,FACE_DETECT,2,0,1113,3, 0, 0, 1146,Chrome_75_Windows,LARGE
39,DATASET_3,FACE_DETECT,2,0,1180,3, 0, 0, 1220,Chrome_75_Windows,LARGE
40,DATASET_3,FACE_DETECT,3,0,1222,3, 0, 0, 1262,Chrome_75_Windows,LARGE
41,DATASET_3,FACE_DETECT,2,0,1223,3, 0, 0, 1262,Chrome_75_Windows,LARGE
42,DATASET_3,FACE_DETECT,2,0,1203,3, 0, 0, 1242,Chrome_75_Windows,LARGE
43,DATASET_3,FACE_DETECT,2,0,1148,3, 0, 0, 1190,Chrome_75_Windows,LARGE
44,DATASET_3,FACE_DETECT,1,0,1179,3, 0, 0, 1218,Chrome_75_Windows,LARGE
45,DATASET_3,FACE_DETECT,1,0,1092,3, 0, 0, 1133,Chrome_75_Windows,LARGE
46,DATASET_3,FACE_DETECT,1,0,1046,3, 0, 0, 1096,Chrome_75_Windows,LARGE
47,DATASET_3,FACE_DETECT,1,0,1036,3, 0, 0, 1074,Chrome_75_Windows,LARGE
48,DATASET_3,FACE_DETECT,3,0,1264,3, 0, 0, 1305,Chrome_75_Windows,LARGE
49,DATASET_3,FACE_DETECT,2,0,1247,4, 0, 0, 1293,Chrome_75_Windows,LARGE
50,DATASET_3,FACE_DETECT,3,0,1232,4, 0, 0, 1277,Chrome_75_Windows,LARGE
51,DATASET_3,FACE_DETECT,2,0,1368,3, 0, 0, 1408,Chrome_75_Windows,LARGE
52,DATASET_3,FACE_DETECT,1,0,1346,4, 0, 0, 1387,Chrome_75_Windows,LARGE
53,DATASET_3,FACE_DETECT,1,0,1226,4, 0, 0, 1271,Chrome_75_Windows,LARGE
54,DATASET_3,FACE_DETECT,1,0,1148,3, 0, 0, 1187,Chrome_75_Windows,LARGE
55,DATASET_3,FACE_DETECT,1,0,1116,3, 0, 0, 1157,Chrome_75_Windows,LARGE
56,DATASET_3,FACE_DETECT,1,0,1122,5, 0, 0, 1173,Chrome_75_Windows,LARGE
57,DATASET_3,FACE_DETECT,2,0,1162,5, 0, 0, 1216,Chrome_75_Windows,LARGE
58,DATASET_3,FACE_DETECT,2,0,1176,3, 0, 0, 1213,Chrome_75_Windows,LARGE
59,DATASET_3,FACE_DETECT,1,0,1208,3, 0, 0, 1248,Chrome_75_Windows,LARGE
60,DATASET_3,FACE_DETECT,3,0,1230,3, 0, 0, 1270,Chrome_75_Windows,LARGE
61,DATASET_3,FACE_DETECT,2,0,1261,4, 0, 0, 1300,Chrome_75_Windows,LARGE
62,DATASET_3,FACE_DETECT,2,0,1257,3, 0, 0, 1298,Chrome_75_Windows,LARGE
63,DATASET_3,FACE_DETECT,1,0,1249,3, 0, 0, 1289,Chrome_75_Windows,LARGE
64,DATASET_3,FACE_DETECT,2,0,1219,3, 0, 0, 1259,Chrome_75_Windows,LARGE
65,DATASET_3,FACE_DETECT,3,0,1350,4, 0, 0, 1397,Chrome_75_Windows,LARGE
66,DATASET_3,FACE_DETECT,2,0,1328,3, 0, 0, 1369,Chrome_75_Windows,LARGE
67,DATASET_3,FACE_DETECT,2,0,1209,3, 0, 0, 1246,Chrome_75_Windows,LARGE
68,DATASET_3,FACE_DETECT,3,0,1222,3, 0, 0, 1259,Chrome_75_Windows,LARGE
69,DATASET_3,FACE_DETECT,2,0,1252,3, 0, 0, 1293,Chrome_75_Windows,LARGE
70,DATASET_3,FACE_DETECT,3,0,1236,3, 0, 0, 1274,Chrome_75_Windows,LARGE
71,DATASET_3,FACE_DETECT,2,0,1237,4, 0, 0, 1287,Chrome_75_Windows,LARGE
72,DATASET_3,FACE_DETECT,1,0,1229,3, 0, 0, 1267,Chrome_75_Windows,LARGE
73,DATASET_3,FACE_DETECT,1,0,1186,3, 0, 0, 1227,Chrome_75_Windows,LARGE
74,DATASET_3,FACE_DETECT,3,0,1210,3, 0, 0, 1249,Chrome_75_Windows,LARGE
75,DATASET_3,FACE_DETECT,3,0,1237,3, 0, 0, 1277,Chrome_75_Windows,LARGE
76,DATASET_3,FACE_DETECT,3,0,1286,3, 0, 0, 1326,Chrome_75_Windows,LARGE
77,DATASET_3,FACE_DETECT,1,0,1342,3, 0, 0, 1382,Chrome_75_Windows,LARGE
78,DATASET_3,FACE_DETECT,1,0,1275,3, 0, 0, 1304,Chrome_75_Windows,LARGE
79,DATASET_3,FACE_DETECT,1,0,1255,3, 0, 0, 1273,Chrome_75_Windows,LARGE
80,DATASET_3,FACE_DETECT,3,0,791,3, 0, 0, 837,Chrome_75_Windows,LARGE
81,DATASET_3,FACE_DETECT,2,0,758,3, 0, 0, 799,Chrome_75_Windows,LARGE
82,DATASET_3,FACE_DETECT,3,0,774,4, 0, 0, 817,Chrome_75_Windows,LARGE
83,DATASET_3,FACE_DETECT,2,0,757,3, 0, 0, 792,Chrome_75_Windows,LARGE
84,DATASET_3,FACE_DETECT,2,0,760,4, 0, 0, 799,Chrome_75_Windows,LARGE
85,DATASET_3,FACE_DETECT,2,0,756,4, 0, 0, 807,Chrome_75_Windows,LARGE
86,DATASET_3,FACE_DETECT,1,0,763,3, 0, 0, 804,Chrome_75_Windows,LARGE
87,DATASET_3,FACE_DETECT,1,0,811,4, 0, 0, 862,Chrome_75_Windows,LARGE
88,DATASET_3,FACE_DETECT,1,0,757,3, 0, 0, 809,Chrome_75_Windows,LARGE
89,DATASET_3,FACE_DETECT,2,0,752,3, 0, 0, 792,Chrome_75_Windows,LARGE
90,DATASET_3,FACE_DETECT,1,0,755,3, 0, 0, 793,Chrome_75_Windows,LARGE
91,DATASET_3,FACE_DETECT,1,0,788,3, 0, 0, 828,Chrome_75_Windows,LARGE
92,DATASET_3,FACE_DETECT,4,0,899,3, 0, 0, 940,Chrome_75_Windows,LARGE
93,DATASET_3,FACE_DETECT,1,0,867,4, 0, 0, 911,Chrome_75_Windows,LARGE
94,DATASET_3,FACE_DETECT,2,0,776,5, 0, 0, 819,Chrome_75_Windows,LARGE
95,DATASET_3,FACE_DETECT,2,0,791,3, 0, 0, 832,Chrome_75_Windows,LARGE
96,DATASET_3,FACE_DETECT,0,0,787,3, 0, 0, 822,Chrome_75_Windows,LARGE
97,DATASET_3,FACE_DETECT,1,0,770,3, 0, 0, 810,Chrome_75_Windows,LARGE
98,DATASET_3,FACE_DETECT,1,0,775,3, 0, 0, 815,Chrome_75_Windows,LARGE
99,DATASET_3,FACE_DETECT,1,0,762,4, 0, 0, 803,Chrome_75_Windows,LARGE
100,DATASET_3,FACE_DETECT,2,0,794,3, 0, 0, 836,Chrome_75_Windows,LARGE
101,DATASET_3,FACE_DETECT,1,0,770,3, 0, 0, 812,Chrome_75_Windows,LARGE
102,DATASET_3,FACE_DETECT,1,0,784,3, 0, 0, 823,Chrome_75_Windows,LARGE
103,DATASET_3,FACE_DETECT,1,0,781,3, 0, 0, 819,Chrome_75_Windows,LARGE
104,DATASET_3,FACE_DETECT,0,0,779,3, 0, 0, 822,Chrome_75_Windows,LARGE
105,DATASET_3,FACE_DETECT,0,0,772,4, 0, 0, 829,Chrome_75_Windows,LARGE
106,DATASET_3,FACE_DETECT,0,0,771,3, 0, 0, 809,Chrome_75_Windows,LARGE
107,DATASET_3,FACE_DETECT,2,0,785,3, 0, 0, 825,Chrome_75_Windows,LARGE
108,DATASET_3,FACE_DETECT,1,0,779,3, 0, 0, 822,Chrome_75_Windows,LARGE
109,DATASET_3,FACE_DETECT,1,0,773,3, 0, 0, 813,Chrome_75_Windows,LARGE
110,DATASET_3,FACE_DETECT,3,0,775,3, 0, 0, 816,Chrome_75_Windows,LARGE
111,DATASET_3,FACE_DETECT,1,0,782,3, 0, 0, 822,Chrome_75_Windows,LARGE
112,DATASET_3,FACE_DETECT,2,0,817,3, 0, 0, 857,Chrome_75_Windows,LARGE
113,DATASET_3,FACE_DETECT,3,0,772,4, 0, 0, 813,Chrome_75_Windows,LARGE
114,DATASET_3,FACE_DETECT,0,0,760,3, 0, 0, 802,Chrome_75_Windows,LARGE
115,DATASET_3,FACE_DETECT,0,0,765,3, 0, 0, 813,Chrome_75_Windows,LARGE
116,DATASET_3,FACE_DETECT,0,0,752,3, 0, 0, 791,Chrome_75_Windows,LARGE
117,DATASET_3,FACE_DETECT,1,0,752,3, 0, 0, 791,Chrome_75_Windows,LARGE
118,DATASET_3,FACE_DETECT,1,0,761,3, 0, 0, 801,Chrome_75_Windows,LARGE
119,DATASET_3,FACE_DETECT,0,0,749,3, 0, 0, 784,Chrome_75_Windows,LARGE
120,DATASET_3,FACE_DETECT,0,0,766,3, 0, 0, 805,Chrome_75_Windows,LARGE
121,DATASET_3,FACE_DETECT,0,0,1019,3, 0, 0, 1056,Chrome_75_Windows,LARGE
122,DATASET_3,FACE_DETECT,0,0,1291,3, 0, 0, 1331,Chrome_75_Windows,LARGE
123,DATASET_3,FACE_DETECT,0,0,1629,3, 0, 0, 1669,Chrome_75_Windows,LARGE
124,DATASET_3,FACE_DETECT,0,0,1675,3, 0, 0, 1716,Chrome_75_Windows,LARGE
125,DATASET_3,FACE_DETECT,0,0,1726,3, 0, 0, 1773,Chrome_75_Windows,LARGE
126,DATASET_3,FACE_DETECT,0,0,1706,3, 0, 0, 1743,Chrome_75_Windows,LARGE
127,DATASET_3,FACE_DETECT,0,0,1797,3, 0, 0, 1837,Chrome_75_Windows,LARGE
128,DATASET_3,FACE_DETECT,0,0,1805,3, 0, 0, 1846,Chrome_75_Windows,LARGE
129,DATASET_3,FACE_DETECT,1,0,619,3, 0, 0, 662,Chrome_75_Windows,LARGE
130,DATASET_3,FACE_DETECT,1,0,543,4, 0, 0, 584,Chrome_75_Windows,LARGE
131,DATASET_3,FACE_DETECT,0,0,566,4, 0, 0, 608,Chrome_75_Windows,LARGE
132,DATASET_3,FACE_DETECT,1,0,551,4, 0, 0, 589,Chrome_75_Windows,LARGE
133,DATASET_3,FACE_DETECT,1,0,563,3, 0, 0, 602,Chrome_75_Windows,LARGE
134,DATASET_3,FACE_DETECT,1,0,540,3, 0, 0, 588,Chrome_75_Windows,LARGE
135,DATASET_3,FACE_DETECT,2,0,537,3, 0, 0, 577,Chrome_75_Windows,LARGE
136,DATASET_3,FACE_DETECT,2,0,561,3, 0, 0, 596,Chrome_75_Windows,LARGE
137,DATASET_3,FACE_DETECT,2,0,536,4, 0, 0, 577,Chrome_75_Windows,LARGE
138,DATASET_3,FACE_DETECT,1,0,545,4, 0, 0, 585,Chrome_75_Windows,LARGE
139,DATASET_3,FACE_DETECT,1,0,555,3, 0, 0, 591,Chrome_75_Windows,LARGE
140,DATASET_3,FACE_DETECT,1,0,564,3, 0, 0, 605,Chrome_75_Windows,LARGE
141,DATASET_3,FACE_DETECT,1,0,537,3, 0, 0, 580,Chrome_75_Windows,LARGE
142,DATASET_3,FACE_DETECT,1,0,536,3, 0, 0, 576,Chrome_75_Windows,LARGE
143,DATASET_3,FACE_DETECT,1,0,511,4, 0, 0, 547,Chrome_75_Windows,LARGE
144,DATASET_3,FACE_DETECT,0,0,523,3, 0, 0, 563,Chrome_75_Windows,LARGE
145,DATASET_3,FACE_DETECT,0,0,550,3, 0, 0, 592,Chrome_75_Windows,LARGE
146,DATASET_3,FACE_DETECT,0,0,551,3, 0, 0, 583,Chrome_75_Windows,LARGE
147,DATASET_3,FACE_DETECT,0,0,608,3, 0, 0, 649,Chrome_75_Windows,LARGE
148,DATASET_3,FACE_DETECT,0,0,838,3, 0, 0, 877,Chrome_75_Windows,LARGE
149,DATASET_3,FACE_DETECT,0,0,842,3, 0, 0, 880,Chrome_75_Windows,LARGE
150,DATASET_3,FACE_DETECT,0,0,818,3, 0, 0, 860,Chrome_75_Windows,LARGE
151,DATASET_3,FACE_DETECT,0,0,822,3, 0, 0, 872,Chrome_75_Windows,LARGE
152,DATASET_3,FACE_DETECT,0,0,824,3, 0, 0, 853,Chrome_75_Windows,LARGE
153,DATASET_3,FACE_DETECT,0,0,843,5, 0, 0, 862,Chrome_75_Windows,LARGE
154,DATASET_3,FACE_DETECT,1,0,821,3, 0, 0, 865,Chrome_75_Windows,LARGE
155,DATASET_3,FACE_DETECT,0,0,798,3, 0, 0, 837,Chrome_75_Windows,LARGE
156,DATASET_3,FACE_DETECT,0,0,804,3, 0, 0, 841,Chrome_75_Windows,LARGE
157,DATASET_3,FACE_DETECT,0,0,814,3, 0, 0, 853,Chrome_75_Windows,LARGE
158,DATASET_3,FACE_DETECT,1,0,819,3, 0, 0, 859,Chrome_75_Windows,LARGE
159,DATASET_3,FACE_DETECT,0,0,882,3, 0, 0, 925,Chrome_75_Windows,LARGE
160,DATASET_3,FACE_DETECT,0,0,826,3, 0, 0, 867,Chrome_75_Windows,LARGE
161,DATASET_3,FACE_DETECT,0,0,883,3, 0, 0, 930,Chrome_75_Windows,LARGE
162,DATASET_3,FACE_DETECT,1,0,991,4, 0, 0, 1034,Chrome_75_Windows,LARGE
163,DATASET_3,FACE_DETECT,1,0,862,4, 0, 0, 900,Chrome_75_Windows,LARGE
164,DATASET_3,FACE_DETECT,0,0,848,3, 0, 0, 889,Chrome_75_Windows,LARGE
165,DATASET_3,FACE_DETECT,0,0,841,3, 0, 0, 878,Chrome_75_Windows,LARGE
166,DATASET_3,FACE_DETECT,0,0,847,3, 0, 0, 884,Chrome_75_Windows,LARGE
167,DATASET_3,FACE_DETECT,0,0,829,3, 0, 0, 871,Chrome_75_Windows,LARGE
168,DATASET_3,FACE_DETECT,0,0,895,4, 0, 0, 938,Chrome_75_Windows,LARGE
169,DATASET_3,FACE_DETECT,0,0,999,4, 0, 0, 1036,Chrome_75_Windows,LARGE
170,DATASET_3,FACE_DETECT,2,0,1013,4, 0, 0, 1056,Chrome_75_Windows,LARGE
171,DATASET_3,FACE_DETECT,1,0,1006,4, 0, 0, 1055,Chrome_75_Windows,LARGE
172,DATASET_3,FACE_DETECT,0,0,1010,4, 0, 0, 1048,Chrome_75_Windows,LARGE
173,DATASET_3,FACE_DETECT,0,0,996,4, 0, 0, 1035,Chrome_75_Windows,LARGE
174,DATASET_3,FACE_DETECT,0,0,863,4, 0, 0, 903,Chrome_75_Windows,LARGE
175,DATASET_3,FACE_DETECT,0,0,884,3, 0, 0, 924,Chrome_75_Windows,LARGE
176,DATASET_3,FACE_DETECT,1,0,891,3, 0, 0, 931,Chrome_75_Windows,LARGE
177,DATASET_3,FACE_DETECT,1,0,886,3, 0, 0, 928,Chrome_75_Windows,LARGE
178,DATASET_3,FACE_DETECT,0,0,914,3, 0, 0, 954,Chrome_75_Windows,LARGE
179,DATASET_3,FACE_DETECT,0,0,885,3, 0, 0, 914,Chrome_75_Windows,LARGE
180,DATASET_3,FACE_DETECT,0,0,979,4, 0, 0, 999,Chrome_75_Windows,LARGE
181,DATASET_3,FACE_DETECT,1,0,894,3, 0, 0, 934,Chrome_75_Windows,LARGE
182,DATASET_3,FACE_DETECT,1,0,883,3, 0, 0, 925,Chrome_75_Windows,LARGE
183,DATASET_3,FACE_DETECT,2,0,859,3, 0, 0, 896,Chrome_75_Windows,LARGE
184,DATASET_3,FACE_DETECT,0,0,855,3, 0, 0, 896,Chrome_75_Windows,LARGE
185,DATASET_3,FACE_DETECT,1,0,858,3, 0, 0, 896,Chrome_75_Windows,LARGE
186,DATASET_3,FACE_DETECT,2,0,867,3, 0, 0, 906,Chrome_75_Windows,LARGE
187,DATASET_3,FACE_DETECT,2,0,832,3, 0, 0, 872,Chrome_75_Windows,LARGE
188,DATASET_3,FACE_DETECT,2,0,822,3, 0, 0, 861,Chrome_75_Windows,LARGE
189,DATASET_3,FACE_DETECT,2,0,829,3, 0, 0, 869,Chrome_75_Windows,LARGE
190,DATASET_3,FACE_DETECT,1,0,831,3, 0, 0, 872,Chrome_75_Windows,LARGE
191,DATASET_3,FACE_DETECT,0,0,871,3, 0, 0, 919,Chrome_75_Windows,LARGE
192,DATASET_3,FACE_DETECT,1,0,825,4, 0, 0, 864,Chrome_75_Windows,LARGE
193,DATASET_3,FACE_DETECT,1,0,864,3, 0, 0, 904,Chrome_75_Windows,LARGE
194,DATASET_3,FACE_DETECT,1,0,867,3, 0, 0, 906,Chrome_75_Windows,LARGE
195,DATASET_3,FACE_DETECT,0,0,858,3, 0, 0, 899,Chrome_75_Windows,LARGE
196,DATASET_3,FACE_DETECT,0,0,866,3, 0, 0, 907,Chrome_75_Windows,LARGE
197,DATASET_3,FACE_DETECT,1,0,871,4, 0, 0, 910,Chrome_75_Windows,LARGE
198,DATASET_3,FACE_DETECT,0,0,862,3, 0, 0, 901,Chrome_75_Windows,LARGE
199,DATASET_3,FACE_DETECT,0,0,832,3, 0, 0, 872,Chrome_75_Windows,LARGE
200,DATASET_3,FACE_DETECT,0,0,836,3, 0, 0, 878,Chrome_75_Windows,LARGE
201,DATASET_3,FACE_DETECT,1,0,840,4, 0, 0, 886,Chrome_75_Windows,LARGE
202,DATASET_3,FACE_DETECT,0,0,843,3, 0, 0, 883,Chrome_75_Windows,LARGE
203,DATASET_3,FACE_DETECT,0,0,919,3, 0, 0, 961,Chrome_75_Windows,LARGE
204,DATASET_3,FACE_DETECT,0,0,838,3, 0, 0, 879,Chrome_75_Windows,LARGE
205,DATASET_3,FACE_DETECT,0,0,840,3, 0, 0, 880,Chrome_75_Windows,LARGE
206,DATASET_3,FACE_DETECT,1,0,850,3, 0, 0, 879,Chrome_75_Windows,LARGE
207,DATASET_3,FACE_DETECT,1,0,860,3, 0, 0, 876,Chrome_75_Windows,LARGE
208,DATASET_3,FACE_DETECT,2,0,881,3, 0, 0, 922,Chrome_75_Windows,LARGE
209,DATASET_3,FACE_DETECT,0,0,885,3, 0, 0, 925,Chrome_75_Windows,LARGE
210,DATASET_3,FACE_DETECT,0,0,890,3, 0, 0, 930,Chrome_75_Windows,LARGE
211,DATASET_3,FACE_DETECT,1,0,889,3, 0, 0, 933,Chrome_75_Windows,LARGE
212,DATASET_3,FACE_DETECT,1,0,876,3, 0, 0, 916,Chrome_75_Windows,LARGE
213,DATASET_3,FACE_DETECT,1,0,872,3, 0, 0, 914,Chrome_75_Windows,LARGE
214,DATASET_3,FACE_DETECT,0,0,891,3, 0, 0, 929,Chrome_75_Windows,LARGE
215,DATASET_3,FACE_DETECT,0,0,877,3, 0, 0, 922,Chrome_75_Windows,LARGE
216,DATASET_3,FACE_DETECT,1,0,856,3, 0, 0, 900,Chrome_75_Windows,LARGE
217,DATASET_3,FACE_DETECT,2,0,829,3, 0, 0, 869,Chrome_75_Windows,LARGE
218,DATASET_3,FACE_DETECT,1,0,845,3, 0, 0, 884,Chrome_75_Windows,LARGE
219,DATASET_3,FACE_DETECT,1,0,862,3, 0, 0, 902,Chrome_75_Windows,LARGE
220,DATASET_3,FACE_DETECT,2,0,866,3, 0, 0, 912,Chrome_75_Windows,LARGE
221,DATASET_3,FACE_DETECT,1,0,876,3, 0, 0, 923,Chrome_75_Windows,LARGE
222,DATASET_3,FACE_DETECT,2,0,886,4, 0, 0, 928,Chrome_75_Windows,LARGE
223,DATASET_3,FACE_DETECT,1,0,1011,4, 0, 0, 1051,Chrome_75_Windows,LARGE
224,DATASET_3,FACE_DETECT,1,0,1024,4, 0, 0, 1066,Chrome_75_Windows,LARGE
225,DATASET_3,FACE_DETECT,2,0,1055,4, 0, 0, 1095,Chrome_75_Windows,LARGE
226,DATASET_3,FACE_DETECT,2,0,1160,5, 0, 0, 1207,Chrome_75_Windows,LARGE
227,DATASET_3,FACE_DETECT,1,0,1108,4, 0, 0, 1150,Chrome_75_Windows,LARGE
228,DATASET_3,FACE_DETECT,1,0,869,3, 0, 0, 906,Chrome_75_Windows,LARGE
229,DATASET_3,FACE_DETECT,0,0,968,5, 0, 0, 1011,Chrome_75_Windows,LARGE
230,DATASET_3,FACE_DETECT,0,0,1216,3, 0, 0, 1255,Chrome_75_Windows,LARGE
231,DATASET_3,FACE_DETECT,0,0,1610,3, 0, 0, 1654,Chrome_75_Windows,LARGE
232,DATASET_3,FACE_DETECT,0,0,1778,3, 0, 0, 1816,Chrome_75_Windows,LARGE
233,DATASET_3,FACE_DETECT,0,0,1922,3, 0, 0, 1962,Chrome_75_Windows,LARGE
234,DATASET_3,FACE_DETECT,0,0,1857,3, 0, 0, 1894,Chrome_75_Windows,LARGE
235,DATASET_3,FACE_DETECT,1,0,1822,3, 0, 0, 1862,Chrome_75_Windows,LARGE
236,DATASET_3,FACE_DETECT,0,0,1869,3, 0, 0, 1899,Chrome_75_Windows,LARGE
237,DATASET_3,FACE_DETECT,0,0,1859,3, 0, 0, 1878,Chrome_75_Windows,LARGE
238,DATASET_3,FACE_DETECT,0,0,1901,3, 0, 0, 1941,Chrome_75_Windows,LARGE
239,DATASET_3,FACE_DETECT,0,0,1871,3, 0, 0, 1908,Chrome_75_Windows,LARGE
240,DATASET_3,FACE_DETECT,1,0,852,3, 0, 0, 891,Chrome_75_Windows,LARGE
241,DATASET_3,FACE_DETECT,1,0,828,3, 0, 0, 874,Chrome_75_Windows,LARGE
242,DATASET_3,FACE_DETECT,2,0,839,3, 0, 0, 877,Chrome_75_Windows,LARGE
243,DATASET_3,FACE_DETECT,1,0,853,3, 0, 0, 896,Chrome_75_Windows,LARGE
244,DATASET_3,FACE_DETECT,0,0,852,3, 0, 0, 892,Chrome_75_Windows,LARGE
245,DATASET_3,FACE_DETECT,3,0,861,4, 0, 0, 896,Chrome_75_Windows,LARGE
246,DATASET_3,FACE_DETECT,1,0,851,3, 0, 0, 891,Chrome_75_Windows,LARGE
247,DATASET_3,FACE_DETECT,2,0,866,3, 0, 0, 904,Chrome_75_Windows,LARGE
