id,dataset,workload,faces_detected,eyes_detected,process_time_ms,total_time_ms,system,resolution_label
0,DATASET_3,FACE_DETECT,0,0,952,1010,Firefox_67_Windows,LARGE
1,DATASET_3,FACE_DETECT,0,0,1314,1364,Firefox_67_Windows,LARGE
2,DATASET_3,FACE_DETECT,1,0,1286,1333,Firefox_67_Windows,LARGE
3,DATASET_3,FACE_DETECT,3,0,617,662,Firefox_67_Windows,LARGE
4,DATASET_3,FACE_DETECT,3,0,619,667,Firefox_67_Windows,LARGE
5,DATASET_3,FACE_DETECT,3,0,614,658,Firefox_67_Windows,LARGE
6,DATASET_3,FACE_DETECT,1,0,611,660,Firefox_67_Windows,LARGE
7,DATASET_3,FACE_DETECT,1,0,613,657,Firefox_67_Windows,LARGE
8,DATASET_3,FACE_DETECT,2,0,607,655,Firefox_67_Windows,LARGE
9,DATASET_3,FACE_DETECT,2,0,627,672,Firefox_67_Windows,LARGE
10,DATASET_3,FACE_DETECT,2,0,706,754,Firefox_67_Windows,LARGE
11,DATASET_3,FACE_DETECT,2,0,634,683,Firefox_67_Windows,LARGE
12,DATASET_3,FACE_DETECT,3,0,620,663,Firefox_67_Windows,LARGE
13,DATASET_3,FACE_DETECT,3,0,609,657,Firefox_67_Windows,LARGE
14,DATASET_3,FACE_DETECT,1,0,671,727,Firefox_67_Windows,LARGE
15,DATASET_3,FACE_DETECT,3,0,609,661,Firefox_67_Windows,LARGE
16,DATASET_3,FACE_DETECT,2,0,621,683,Firefox_67_Windows,LARGE
17,DATASET_3,FACE_DETECT,3,0,605,653,Firefox_67_Windows,LARGE
18,DATASET_3,FACE_DETECT,0,0,619,674,Firefox_67_Windows,LARGE
19,DATASET_3,FACE_DETECT,0,0,615,659,Firefox_67_Windows,LARGE
20,DATASET_3,FACE_DETECT,1,0,628,677,Firefox_67_Windows,LARGE
21,DATASET_3,FACE_DETECT,1,0,623,684,Firefox_67_Windows,LARGE
22,DATASET_3,FACE_DETECT,2,0,621,675,Firefox_67_Windows,LARGE
23,DATASET_3,FACE_DETECT,1,0,621,683,Firefox_67_Windows,LARGE
24,DATASET_3,FACE_DETECT,2,0,618,670,Firefox_67_Windows,LARGE
25,DATASET_3,FACE_DETECT,2,0,614,672,Firefox_67_Windows,LARGE
26,DATASET_3,FACE_DETECT,2,0,624,688,Firefox_67_Windows,LARGE
27,DATASET_3,FACE_DETECT,0,0,1162,1215,Firefox_67_Windows,LARGE
28,DATASET_3,FACE_DETECT,0,0,1410,1464,Firefox_67_Windows,LARGE
29,DATASET_3,FACE_DETECT,2,0,850,917,Firefox_67_Windows,LARGE
30,DATASET_3,FACE_DETECT,1,0,893,940,Firefox_67_Windows,LARGE
31,DATASET_3,FACE_DETECT,1,0,947,1002,Firefox_67_Windows,LARGE
32,DATASET_3,FACE_DETECT,2,0,870,922,Firefox_67_Windows,LARGE
33,DATASET_3,FACE_DETECT,2,0,942,1000,Firefox_67_Windows,LARGE
34,DATASET_3,FACE_DETECT,1,0,822,883,Firefox_67_Windows,LARGE
35,DATASET_3,FACE_DETECT,2,0,891,954,Firefox_67_Windows,LARGE
36,DATASET_3,FACE_DETECT,1,0,889,952,Firefox_67_Windows,LARGE
37,DATASET_3,FACE_DETECT,4,0,958,1014,Firefox_67_Windows,LARGE
38,DATASET_3,FACE_DETECT,4,0,972,1035,Firefox_67_Windows,LARGE
39,DATASET_3,FACE_DETECT,1,0,945,1013,Firefox_67_Windows,LARGE
40,DATASET_3,FACE_DETECT,1,0,974,1032,Firefox_67_Windows,LARGE
41,DATASET_3,FACE_DETECT,2,0,619,679,Firefox_67_Windows,LARGE
42,DATASET_3,FACE_DETECT,2,0,607,664,Firefox_67_Windows,LARGE
43,DATASET_3,FACE_DETECT,2,0,611,669,Firefox_67_Windows,LARGE
44,DATASET_3,FACE_DETECT,2,0,602,660,Firefox_67_Windows,LARGE
45,DATASET_3,FACE_DETECT,2,0,616,670,Firefox_67_Windows,LARGE
46,DATASET_3,FACE_DETECT,1,0,615,679,Firefox_67_Windows,LARGE
47,DATASET_3,FACE_DETECT,1,0,612,668,Firefox_67_Windows,LARGE
48,DATASET_3,FACE_DETECT,1,0,608,665,Firefox_67_Windows,LARGE
49,DATASET_3,FACE_DETECT,0,0,620,681,Firefox_67_Windows,LARGE
50,DATASET_3,FACE_DETECT,0,0,645,704,Firefox_67_Windows,LARGE
51,DATASET_3,FACE_DETECT,1,0,719,787,Firefox_67_Windows,LARGE
52,DATASET_3,FACE_DETECT,1,0,862,939,Firefox_67_Windows,LARGE
53,DATASET_3,FACE_DETECT,0,0,763,838,Firefox_67_Windows,LARGE
54,DATASET_3,FACE_DETECT,0,0,751,822,Firefox_67_Windows,LARGE
55,DATASET_3,FACE_DETECT,0,0,1393,1451,Firefox_67_Windows,LARGE
