id,dataset,workload,faces_detected,eyes_detected,process_time_ms,pre_time_ms,tag_time_ms,pos_time_ms,total_time_ms,system,resolution_label
0,DATASET_3,FACE_DETECT,0,0,918,6, 0, 0, 953,Firefox_68_Windows,LARGE
1,DATASET_3,FACE_DETECT,0,0,1459,6, 0, 0, 1493,Firefox_68_Windows,LARGE
2,DATASET_3,FACE_DETECT,0,0,1454,10, 0, 0, 1507,Firefox_68_Windows,LARGE
3,DATASET_3,FACE_DETECT,3,0,646,4, 0, 0, 675,Firefox_68_Windows,LARGE
4,DATASET_3,FACE_DETECT,3,0,644,5, 0, 0, 673,Firefox_68_Windows,LARGE
5,DATASET_3,FACE_DETECT,2,0,634,4, 0, 0, 665,Firefox_68_Windows,LARGE
6,DATASET_3,FACE_DETECT,1,0,645,5, 0, 0, 676,Firefox_68_Windows,LARGE
7,DATASET_3,FACE_DETECT,2,0,638,4, 1, 0, 667,Firefox_68_Windows,LARGE
8,DATASET_3,FACE_DETECT,2,0,732,6, 0, 0, 763,Firefox_68_Windows,LARGE
9,DATASET_3,FACE_DETECT,2,0,669,4, 0, 0, 702,Firefox_68_Windows,LARGE
10,DATASET_3,FACE_DETECT,2,0,648,4, 0, 0, 681,Firefox_68_Windows,LARGE
11,DATASET_3,FACE_DETECT,3,0,633,6, 0, 0, 677,Firefox_68_Windows,LARGE
12,DATASET_3,FACE_DETECT,3,0,629,5, 0, 0, 670,Firefox_68_Windows,LARGE
13,DATASET_3,FACE_DETECT,2,0,644,4, 1, 0, 694,Firefox_68_Windows,LARGE
14,DATASET_3,FACE_DETECT,2,0,702,5, 0, 0, 743,Firefox_68_Windows,LARGE
15,DATASET_3,FACE_DETECT,2,0,657,4, 1, 0, 701,Firefox_68_Windows,LARGE
16,DATASET_3,FACE_DETECT,2,0,631,5, 0, 0, 678,Firefox_68_Windows,LARGE
17,DATASET_3,FACE_DETECT,1,0,638,4, 0, 0, 677,Firefox_68_Windows,LARGE
18,DATASET_3,FACE_DETECT,0,0,651,3, 0, 0, 704,Firefox_68_Windows,LARGE
19,DATASET_3,FACE_DETECT,1,0,661,4, 0, 0, 715,Firefox_68_Windows,LARGE
20,DATASET_3,FACE_DETECT,1,0,650,4, 0, 0, 688,Firefox_68_Windows,LARGE
21,DATASET_3,FACE_DETECT,2,0,658,4, 1, 0, 698,Firefox_68_Windows,LARGE
22,DATASET_3,FACE_DETECT,2,0,736,4, 0, 0, 778,Firefox_68_Windows,LARGE
23,DATASET_3,FACE_DETECT,3,0,720,3, 0, 0, 776,Firefox_68_Windows,LARGE
24,DATASET_3,FACE_DETECT,1,0,740,4, 0, 0, 795,Firefox_68_Windows,LARGE
25,DATASET_3,FACE_DETECT,1,0,773,5, 0, 0, 820,Firefox_68_Windows,LARGE
26,DATASET_3,FACE_DETECT,0,0,1702,5, 0, 0, 1735,Firefox_68_Windows,LARGE
27,DATASET_3,FACE_DETECT,1,0,1178,5, 0, 0, 1210,Firefox_68_Windows,LARGE
28,DATASET_3,FACE_DETECT,1,0,1107,5, 0, 0, 1140,Firefox_68_Windows,LARGE
29,DATASET_3,FACE_DETECT,2,0,1037,6, 0, 0, 1072,Firefox_68_Windows,LARGE
30,DATASET_3,FACE_DETECT,2,0,1073,5, 1, 0, 1105,Firefox_68_Windows,LARGE
31,DATASET_3,FACE_DETECT,1,0,1164,6, 0, 0, 1198,Firefox_68_Windows,LARGE
32,DATASET_3,FACE_DETECT,2,0,1111,5, 0, 0, 1142,Firefox_68_Windows,LARGE
33,DATASET_3,FACE_DETECT,1,0,1090,6, 0, 0, 1125,Firefox_68_Windows,LARGE
34,DATASET_3,FACE_DETECT,3,0,1165,4, 0, 0, 1201,Firefox_68_Windows,LARGE
35,DATASET_3,FACE_DETECT,1,0,1173,4, 0, 0, 1205,Firefox_68_Windows,LARGE
36,DATASET_3,FACE_DETECT,2,0,1233,4, 0, 0, 1266,Firefox_68_Windows,LARGE
37,DATASET_3,FACE_DETECT,1,0,1135,3, 0, 0, 1167,Firefox_68_Windows,LARGE
38,DATASET_3,FACE_DETECT,3,0,709,6, 1, 0, 742,Firefox_68_Windows,LARGE
39,DATASET_3,FACE_DETECT,3,0,710,4, 0, 0, 745,Firefox_68_Windows,LARGE
40,DATASET_3,FACE_DETECT,2,0,706,6, 0, 0, 742,Firefox_68_Windows,LARGE
41,DATASET_3,FACE_DETECT,3,0,715,5, 1, 0, 750,Firefox_68_Windows,LARGE
42,DATASET_3,FACE_DETECT,2,0,730,5, 0, 0, 770,Firefox_68_Windows,LARGE
43,DATASET_3,FACE_DETECT,0,0,715,4, 0, 0, 746,Firefox_68_Windows,LARGE
44,DATASET_3,FACE_DETECT,1,0,731,6, 0, 0, 767,Firefox_68_Windows,LARGE
45,DATASET_3,FACE_DETECT,1,0,724,5, 0, 0, 757,Firefox_68_Windows,LARGE
46,DATASET_3,FACE_DETECT,1,0,738,5, 0, 0, 772,Firefox_68_Windows,LARGE
47,DATASET_3,FACE_DETECT,2,0,731,5, 0, 0, 762,Firefox_68_Windows,LARGE
48,DATASET_3,FACE_DETECT,3,0,821,6, 0, 0, 856,Firefox_68_Windows,LARGE
49,DATASET_3,FACE_DETECT,0,0,782,5, 0, 0, 816,Firefox_68_Windows,LARGE
50,DATASET_3,FACE_DETECT,0,0,754,5, 0, 0, 787,Firefox_68_Windows,LARGE
51,DATASET_3,FACE_DETECT,0,0,1708,7, 0, 0, 1742,Firefox_68_Windows,LARGE
52,DATASET_3,FACE_DETECT,0,0,535,4, 0, 0, 566,Firefox_68_Windows,LARGE
53,DATASET_3,FACE_DETECT,1,0,560,5, 0, 0, 592,Firefox_68_Windows,LARGE
54,DATASET_3,FACE_DETECT,1,0,546,4, 0, 0, 578,Firefox_68_Windows,LARGE
55,DATASET_3,FACE_DETECT,1,0,521,4, 0, 0, 552,Firefox_68_Windows,LARGE
56,DATASET_3,FACE_DETECT,1,0,532,5, 0, 0, 565,Firefox_68_Windows,LARGE
57,DATASET_3,FACE_DETECT,2,0,546,5, 0, 0, 579,Firefox_68_Windows,LARGE
58,DATASET_3,FACE_DETECT,2,0,546,5, 1, 0, 578,Firefox_68_Windows,LARGE
59,DATASET_3,FACE_DETECT,1,0,527,4, 0, 0, 559,Firefox_68_Windows,LARGE
60,DATASET_3,FACE_DETECT,1,0,528,5, 0, 0, 559,Firefox_68_Windows,LARGE
