id,dataset,workload,faces_detected,eyes_detected,process_time_ms,pre_time_ms,tag_time_ms,pos_time_ms,total_time_ms,system,resolution_label
0,DATASET_3,FACE_DETECT,0,0,440,2, 0, 0, 464,Chrome_75_Windows,MEDIUM
1,DATASET_3,FACE_DETECT,0,0,595,3, 0, 0, 618,Chrome_75_Windows,MEDIUM
2,DATASET_3,FACE_DETECT,0,0,690,1, 0, 0, 710,Chrome_75_Windows,MEDIUM
3,DATASET_3,FACE_DETECT,0,0,456,1, 0, 0, 492,Chrome_75_Windows,MEDIUM
4,DATASET_3,FACE_DETECT,0,0,619,1, 0, 0, 645,Chrome_75_Windows,MEDIUM
5,DATASET_3,FACE_DETECT,0,0,635,1, 0, 0, 664,Chrome_75_Windows,MEDIUM
6,DATASET_3,FACE_DETECT,2,0,377,1, 0, 0, 407,Chrome_75_Windows,MEDIUM
7,DATASET_3,FACE_DETECT,3,0,383,1, 0, 0, 413,Chrome_75_Windows,MEDIUM
8,DATASET_3,FACE_DETECT,3,0,384,1, 0, 0, 410,Chrome_75_Windows,MEDIUM
9,DATASET_3,FACE_DETECT,2,0,380,1, 0, 0, 406,Chrome_75_Windows,MEDIUM
10,DATASET_3,FACE_DETECT,3,0,382,1, 0, 0, 409,Chrome_75_Windows,MEDIUM
11,DATASET_3,FACE_DETECT,1,0,371,1, 0, 0, 396,Chrome_75_Windows,MEDIUM
12,DATASET_3,FACE_DETECT,1,0,377,1, 0, 0, 405,Chrome_75_Windows,MEDIUM
13,DATASET_3,FACE_DETECT,1,0,382,1, 0, 0, 407,Chrome_75_Windows,MEDIUM
14,DATASET_3,FACE_DETECT,1,0,384,1, 0, 0, 414,Chrome_75_Windows,MEDIUM
15,DATASET_3,FACE_DETECT,1,0,390,1, 0, 0, 416,Chrome_75_Windows,MEDIUM
16,DATASET_3,FACE_DETECT,1,0,380,1, 0, 0, 408,Chrome_75_Windows,MEDIUM
17,DATASET_3,FACE_DETECT,1,0,373,1, 0, 0, 400,Chrome_75_Windows,MEDIUM
18,DATASET_3,FACE_DETECT,1,0,378,1, 0, 0, 407,Chrome_75_Windows,MEDIUM
19,DATASET_3,FACE_DETECT,1,0,384,1, 0, 0, 412,Chrome_75_Windows,MEDIUM
20,DATASET_3,FACE_DETECT,2,0,383,1, 0, 0, 408,Chrome_75_Windows,MEDIUM
21,DATASET_3,FACE_DETECT,3,0,389,1, 0, 0, 412,Chrome_75_Windows,MEDIUM
22,DATASET_3,FACE_DETECT,2,0,386,1, 0, 0, 411,Chrome_75_Windows,MEDIUM
23,DATASET_3,FACE_DETECT,2,0,375,1, 0, 0, 404,Chrome_75_Windows,MEDIUM
24,DATASET_3,FACE_DETECT,2,0,377,1, 0, 0, 403,Chrome_75_Windows,MEDIUM
25,DATASET_3,FACE_DETECT,2,0,377,1, 0, 0, 406,Chrome_75_Windows,MEDIUM
26,DATASET_3,FACE_DETECT,0,0,373,1, 0, 0, 399,Chrome_75_Windows,MEDIUM
27,DATASET_3,FACE_DETECT,2,0,386,1, 0, 0, 413,Chrome_75_Windows,MEDIUM
28,DATASET_3,FACE_DETECT,3,0,467,1, 0, 0, 494,Chrome_75_Windows,MEDIUM
29,DATASET_3,FACE_DETECT,3,0,377,1, 0, 0, 407,Chrome_75_Windows,MEDIUM
30,DATASET_3,FACE_DETECT,1,0,384,1, 0, 0, 418,Chrome_75_Windows,MEDIUM
31,DATASET_3,FACE_DETECT,1,0,412,1, 0, 0, 437,Chrome_75_Windows,MEDIUM
32,DATASET_3,FACE_DETECT,0,0,393,1, 0, 0, 420,Chrome_75_Windows,MEDIUM
33,DATASET_3,FACE_DETECT,0,0,387,1, 0, 0, 413,Chrome_75_Windows,MEDIUM
34,DATASET_3,FACE_DETECT,0,0,391,1, 0, 0, 419,Chrome_75_Windows,MEDIUM
35,DATASET_3,FACE_DETECT,1,0,388,1, 0, 0, 416,Chrome_75_Windows,MEDIUM
36,DATASET_3,FACE_DETECT,2,0,390,1, 0, 0, 428,Chrome_75_Windows,MEDIUM
