id,dataset,workload,faces_detected,eyes_detected,process_time_ms,total_time_ms,system,resolution_label
0,DATASET_3,FACE_DETECT,0,0,343,385,Firefox_67_Windows,MEDIUM
1,DATASET_3,FACE_DETECT,0,0,447,498,Firefox_67_Windows,MEDIUM
2,DATASET_3,FACE_DETECT,0,0,485,524,Firefox_67_Windows,MEDIUM
3,DATASET_3,FACE_DETECT,0,0,264,303,Firefox_67_Windows,MEDIUM
4,DATASET_3,FACE_DETECT,0,0,398,439,Firefox_67_Windows,MEDIUM
5,DATASET_3,FACE_DETECT,0,0,432,471,Firefox_67_Windows,MEDIUM
6,DATASET_3,FACE_DETECT,0,0,449,489,Firefox_67_Windows,MEDIUM
7,DATASET_3,FACE_DETECT,2,0,288,329,Firefox_67_Windows,MEDIUM
8,DATASET_3,FACE_DETECT,2,0,288,327,Firefox_67_Windows,MEDIUM
9,DATASET_3,FACE_DETECT,3,0,290,330,Firefox_67_Windows,MEDIUM
10,DATASET_3,FACE_DETECT,3,0,289,328,Firefox_67_Windows,MEDIUM
11,DATASET_3,FACE_DETECT,3,0,292,332,Firefox_67_Windows,MEDIUM
12,DATASET_3,FACE_DETECT,3,0,291,329,Firefox_67_Windows,MEDIUM
13,DATASET_3,FACE_DETECT,1,0,289,329,Firefox_67_Windows,MEDIUM
14,DATASET_3,FACE_DETECT,1,0,285,325,Firefox_67_Windows,MEDIUM
15,DATASET_3,FACE_DETECT,1,0,287,329,Firefox_67_Windows,MEDIUM
16,DATASET_3,FACE_DETECT,1,0,290,331,Firefox_67_Windows,MEDIUM
17,DATASET_3,FACE_DETECT,1,0,288,328,Firefox_67_Windows,MEDIUM
18,DATASET_3,FACE_DETECT,2,0,289,327,Firefox_67_Windows,MEDIUM
19,DATASET_3,FACE_DETECT,1,0,293,333,Firefox_67_Windows,MEDIUM
20,DATASET_3,FACE_DETECT,1,0,290,328,Firefox_67_Windows,MEDIUM
21,DATASET_3,FACE_DETECT,1,0,289,327,Firefox_67_Windows,MEDIUM
22,DATASET_3,FACE_DETECT,1,0,289,330,Firefox_67_Windows,MEDIUM
23,DATASET_3,FACE_DETECT,1,0,288,325,Firefox_67_Windows,MEDIUM
24,DATASET_3,FACE_DETECT,2,0,290,329,Firefox_67_Windows,MEDIUM
25,DATASET_3,FACE_DETECT,2,0,288,326,Firefox_67_Windows,MEDIUM
26,DATASET_3,FACE_DETECT,3,0,390,430,Firefox_67_Windows,MEDIUM
27,DATASET_3,FACE_DETECT,3,0,292,330,Firefox_67_Windows,MEDIUM
28,DATASET_3,FACE_DETECT,2,0,292,332,Firefox_67_Windows,MEDIUM
29,DATASET_3,FACE_DETECT,2,0,293,333,Firefox_67_Windows,MEDIUM
30,DATASET_3,FACE_DETECT,2,0,294,333,Firefox_67_Windows,MEDIUM
31,DATASET_3,FACE_DETECT,1,0,291,329,Firefox_67_Windows,MEDIUM
32,DATASET_3,FACE_DETECT,1,0,288,328,Firefox_67_Windows,MEDIUM
33,DATASET_3,FACE_DETECT,2,0,291,329,Firefox_67_Windows,MEDIUM
34,DATASET_3,FACE_DETECT,3,0,296,333,Firefox_67_Windows,MEDIUM
35,DATASET_3,FACE_DETECT,3,0,290,331,Firefox_67_Windows,MEDIUM
36,DATASET_3,FACE_DETECT,2,0,290,329,Firefox_67_Windows,MEDIUM
37,DATASET_3,FACE_DETECT,2,0,290,329,Firefox_67_Windows,MEDIUM
38,DATASET_3,FACE_DETECT,2,0,289,329,Firefox_67_Windows,MEDIUM
39,DATASET_3,FACE_DETECT,0,0,290,325,Firefox_67_Windows,MEDIUM
40,DATASET_3,FACE_DETECT,0,0,289,327,Firefox_67_Windows,MEDIUM
41,DATASET_3,FACE_DETECT,0,0,287,327,Firefox_67_Windows,MEDIUM
42,DATASET_3,FACE_DETECT,0,0,288,329,Firefox_67_Windows,MEDIUM
43,DATASET_3,FACE_DETECT,0,0,288,326,Firefox_67_Windows,MEDIUM
44,DATASET_3,FACE_DETECT,1,0,291,332,Firefox_67_Windows,MEDIUM
45,DATASET_3,FACE_DETECT,1,0,288,324,Firefox_67_Windows,MEDIUM
46,DATASET_3,FACE_DETECT,1,0,296,351,Firefox_67_Windows,MEDIUM
47,DATASET_3,FACE_DETECT,2,0,287,326,Firefox_67_Windows,MEDIUM
48,DATASET_3,FACE_DETECT,2,0,288,327,Firefox_67_Windows,MEDIUM
49,DATASET_3,FACE_DETECT,1,0,289,330,Firefox_67_Windows,MEDIUM
50,DATASET_3,FACE_DETECT,1,0,287,325,Firefox_67_Windows,MEDIUM
51,DATASET_3,FACE_DETECT,2,0,302,347,Firefox_67_Windows,MEDIUM
52,DATASET_3,FACE_DETECT,1,0,288,325,Firefox_67_Windows,MEDIUM
53,DATASET_3,FACE_DETECT,2,0,287,325,Firefox_67_Windows,MEDIUM
54,DATASET_3,FACE_DETECT,0,0,288,327,Firefox_67_Windows,MEDIUM
55,DATASET_3,FACE_DETECT,0,0,287,325,Firefox_67_Windows,MEDIUM
56,DATASET_3,FACE_DETECT,1,0,357,399,Firefox_67_Windows,MEDIUM
