id,dataset,workload,faces_detected,eyes_detected,process_time_ms,pre_time_ms,tag_time_ms,pos_time_ms,total_time_ms,system,resolution_label
0,DATASET_3,FACE_DETECT,0,0,465,2, 0, 1, 535,WINDOWS_10_WIN32,MEDIUM
1,DATASET_3,FACE_DETECT,0,0,127,4, 0, 1, 134,WINDOWS_10_WIN32,MEDIUM
2,DATASET_3,FACE_DETECT,0,0,117,2, 0, 1, 122,WINDOWS_10_WIN32,MEDIUM
3,DATASET_3,FACE_DETECT,0,0,134,3, 0, 1, 139,WINDOWS_10_WIN32,MEDIUM
4,DATASET_3,FACE_DETECT,0,0,155,3, 0, 1, 160,WINDOWS_10_WIN32,MEDIUM
5,DATASET_3,FACE_DETECT,0,0,135,4, 0, 1, 142,WINDOWS_10_WIN32,MEDIUM
6,DATASET_3,FACE_DETECT,0,0,141,3, 0, 1, 147,WINDOWS_10_WIN32,MEDIUM
7,DATASET_3,FACE_DETECT,0,0,154,4, 0, 1, 160,WINDOWS_10_WIN32,MEDIUM
8,DATASET_3,FACE_DETECT,0,0,139,3, 0, 1, 145,WINDOWS_10_WIN32,MEDIUM
9,DATASET_3,FACE_DETECT,0,0,149,3, 0, 1, 155,WINDOWS_10_WIN32,MEDIUM
10,DATASET_3,FACE_DETECT,0,0,141,2, 0, 1, 146,WINDOWS_10_WIN32,MEDIUM
11,DATASET_3,FACE_DETECT,0,0,150,3, 0, 1, 156,WINDOWS_10_WIN32,MEDIUM
12,DATASET_3,FACE_DETECT,0,0,138,3, 0, 1, 144,WINDOWS_10_WIN32,MEDIUM
13,DATASET_3,FACE_DETECT,0,0,147,2, 0, 1, 151,WINDOWS_10_WIN32,MEDIUM
14,DATASET_3,FACE_DETECT,0,0,154,3, 0, 1, 160,WINDOWS_10_WIN32,MEDIUM
15,DATASET_3,FACE_DETECT,0,0,149,5, 0, 1, 156,WINDOWS_10_WIN32,MEDIUM
16,DATASET_3,FACE_DETECT,0,0,153,2, 0, 1, 158,WINDOWS_10_WIN32,MEDIUM
17,DATASET_3,FACE_DETECT,0,0,162,5, 0, 1, 170,WINDOWS_10_WIN32,MEDIUM
18,DATASET_3,FACE_DETECT,0,0,157,2, 0, 1, 162,WINDOWS_10_WIN32,MEDIUM
19,DATASET_3,FACE_DETECT,0,0,150,2, 0, 1, 155,WINDOWS_10_WIN32,MEDIUM
20,DATASET_3,FACE_DETECT,0,0,144,3, 0, 1, 152,WINDOWS_10_WIN32,MEDIUM
21,DATASET_3,FACE_DETECT,0,0,152,2, 0, 1, 157,WINDOWS_10_WIN32,MEDIUM
22,DATASET_3,FACE_DETECT,0,0,147,2, 0, 1, 152,WINDOWS_10_WIN32,MEDIUM
23,DATASET_3,FACE_DETECT,0,0,147,3, 0, 1, 154,WINDOWS_10_WIN32,MEDIUM
24,DATASET_3,FACE_DETECT,0,0,155,2, 0, 1, 159,WINDOWS_10_WIN32,MEDIUM
25,DATASET_3,FACE_DETECT,0,0,147,2, 0, 1, 153,WINDOWS_10_WIN32,MEDIUM
26,DATASET_3,FACE_DETECT,0,0,195,4, 0, 1, 203,WINDOWS_10_WIN32,MEDIUM
27,DATASET_3,FACE_DETECT,0,0,143,2, 0, 1, 147,WINDOWS_10_WIN32,MEDIUM
28,DATASET_3,FACE_DETECT,0,0,160,3, 0, 1, 166,WINDOWS_10_WIN32,MEDIUM
29,DATASET_3,FACE_DETECT,0,0,66,2, 0, 1, 70,WINDOWS_10_WIN32,MEDIUM
30,DATASET_3,FACE_DETECT,0,0,68,2, 0, 1, 73,WINDOWS_10_WIN32,MEDIUM
31,DATASET_3,FACE_DETECT,0,0,70,2, 0, 1, 75,WINDOWS_10_WIN32,MEDIUM
32,DATASET_3,FACE_DETECT,0,0,78,2, 0, 1, 82,WINDOWS_10_WIN32,MEDIUM
33,DATASET_3,FACE_DETECT,0,0,93,2, 0, 1, 98,WINDOWS_10_WIN32,MEDIUM
34,DATASET_3,FACE_DETECT,0,0,96,4, 0, 1, 103,WINDOWS_10_WIN32,MEDIUM
35,DATASET_3,FACE_DETECT,0,0,122,2, 0, 0, 126,WINDOWS_10_WIN32,MEDIUM
36,DATASET_3,FACE_DETECT,0,0,132,4, 0, 0, 138,WINDOWS_10_WIN32,MEDIUM
37,DATASET_3,FACE_DETECT,0,0,118,3, 0, 1, 124,WINDOWS_10_WIN32,MEDIUM
38,DATASET_3,FACE_DETECT,0,0,165,2, 0, 1, 170,WINDOWS_10_WIN32,MEDIUM
39,DATASET_3,FACE_DETECT,0,0,146,2, 0, 1, 150,WINDOWS_10_WIN32,MEDIUM
40,DATASET_3,FACE_DETECT,0,0,119,2, 0, 1, 124,WINDOWS_10_WIN32,MEDIUM
41,DATASET_3,FACE_DETECT,0,0,130,2, 0, 1, 135,WINDOWS_10_WIN32,MEDIUM
42,DATASET_3,FACE_DETECT,0,0,127,5, 0, 1, 134,WINDOWS_10_WIN32,MEDIUM
43,DATASET_3,FACE_DETECT,0,0,127,2, 0, 1, 131,WINDOWS_10_WIN32,MEDIUM
44,DATASET_3,FACE_DETECT,0,0,138,3, 0, 1, 144,WINDOWS_10_WIN32,MEDIUM
45,DATASET_3,FACE_DETECT,0,0,165,3, 0, 1, 171,WINDOWS_10_WIN32,MEDIUM
46,DATASET_3,FACE_DETECT,0,0,152,4, 0, 1, 159,WINDOWS_10_WIN32,MEDIUM
47,DATASET_3,FACE_DETECT,0,0,132,2, 0, 1, 136,WINDOWS_10_WIN32,MEDIUM
48,DATASET_3,FACE_DETECT,0,0,147,2, 0, 1, 152,WINDOWS_10_WIN32,MEDIUM
49,DATASET_3,FACE_DETECT,0,0,137,5, 0, 1, 144,WINDOWS_10_WIN32,MEDIUM
50,DATASET_3,FACE_DETECT,0,0,152,2, 0, 1, 157,WINDOWS_10_WIN32,MEDIUM
51,DATASET_3,FACE_DETECT,0,0,154,4, 0, 1, 161,WINDOWS_10_WIN32,MEDIUM
52,DATASET_3,FACE_DETECT,0,0,133,2, 0, 1, 137,WINDOWS_10_WIN32,MEDIUM
53,DATASET_3,FACE_DETECT,0,0,140,2, 0, 1, 145,WINDOWS_10_WIN32,MEDIUM
54,DATASET_3,FACE_DETECT,0,0,139,4, 0, 1, 145,WINDOWS_10_WIN32,MEDIUM
55,DATASET_3,FACE_DETECT,0,0,134,2, 0, 1, 138,WINDOWS_10_WIN32,MEDIUM
56,DATASET_3,FACE_DETECT,0,0,143,4, 0, 1, 150,WINDOWS_10_WIN32,MEDIUM
57,DATASET_3,FACE_DETECT,0,0,141,3, 0, 1, 146,WINDOWS_10_WIN32,MEDIUM
58,DATASET_3,FACE_DETECT,0,0,143,3, 0, 1, 150,WINDOWS_10_WIN32,MEDIUM
59,DATASET_3,FACE_DETECT,0,0,138,2, 0, 1, 143,WINDOWS_10_WIN32,MEDIUM
60,DATASET_3,FACE_DETECT,0,0,145,2, 0, 1, 151,WINDOWS_10_WIN32,MEDIUM
61,DATASET_3,FACE_DETECT,0,0,141,2, 0, 1, 146,WINDOWS_10_WIN32,MEDIUM
62,DATASET_3,FACE_DETECT,1,0,91,2, 0, 1, 95,WINDOWS_10_WIN32,MEDIUM
63,DATASET_3,FACE_DETECT,1,0,101,3, 0, 1, 107,WINDOWS_10_WIN32,MEDIUM
64,DATASET_3,FACE_DETECT,1,0,89,2, 0, 1, 93,WINDOWS_10_WIN32,MEDIUM
65,DATASET_3,FACE_DETECT,1,0,89,4, 0, 1, 96,WINDOWS_10_WIN32,MEDIUM
66,DATASET_3,FACE_DETECT,1,0,89,4, 0, 1, 97,WINDOWS_10_WIN32,MEDIUM
67,DATASET_3,FACE_DETECT,2,0,89,5, 0, 0, 98,WINDOWS_10_WIN32,MEDIUM
68,DATASET_3,FACE_DETECT,2,0,95,1, 0, 1, 100,WINDOWS_10_WIN32,MEDIUM
69,DATASET_3,FACE_DETECT,2,0,93,5, 0, 1, 102,WINDOWS_10_WIN32,MEDIUM
70,DATASET_3,FACE_DETECT,2,0,80,5, 0, 1, 90,WINDOWS_10_WIN32,MEDIUM
