id,dataset,workload,faces_detected,eyes_detected,process_time_ms,pre_time_ms,tag_time_ms,pos_time_ms,total_time_ms,system,resolution_label
0,DATASET_3,FACE_DETECT,0,0,368,0, 0, 0, 392,WINDOWS_10_WIN32,SMALL
1,DATASET_3,FACE_DETECT,0,0,127,0, 0, 0, 128,WINDOWS_10_WIN32,SMALL
2,DATASET_3,FACE_DETECT,0,0,35,1, 0, 0, 36,WINDOWS_10_WIN32,SMALL
3,DATASET_3,FACE_DETECT,0,0,41,0, 0, 0, 42,WINDOWS_10_WIN32,SMALL
4,DATASET_3,FACE_DETECT,0,0,57,4, 0, 0, 64,WINDOWS_10_WIN32,SMALL
5,DATASET_3,FACE_DETECT,0,0,51,0, 0, 0, 54,WINDOWS_10_WIN32,SMALL
6,DATASET_3,FACE_DETECT,0,0,57,0, 0, 0, 58,WINDOWS_10_WIN32,SMALL
7,DATASET_3,FACE_DETECT,0,0,45,0, 0, 0, 47,WINDOWS_10_WIN32,SMALL
8,DATASET_3,FACE_DETECT,0,0,87,3, 0, 0, 92,WINDOWS_10_WIN32,SMALL
9,DATASET_3,FACE_DETECT,0,0,50,1, 0, 0, 51,WINDOWS_10_WIN32,SMALL
10,DATASET_3,FACE_DETECT,0,0,42,0, 0, 0, 44,WINDOWS_10_WIN32,SMALL
11,DATASET_3,FACE_DETECT,0,0,40,0, 0, 0, 42,WINDOWS_10_WIN32,SMALL
12,DATASET_3,FACE_DETECT,0,0,49,1, 0, 0, 51,WINDOWS_10_WIN32,SMALL
13,DATASET_3,FACE_DETECT,0,0,56,2, 0, 0, 59,WINDOWS_10_WIN32,SMALL
14,DATASET_3,FACE_DETECT,0,0,47,0, 0, 0, 48,WINDOWS_10_WIN32,SMALL
15,DATASET_3,FACE_DETECT,0,0,60,1, 0, 0, 63,WINDOWS_10_WIN32,SMALL
16,DATASET_3,FACE_DETECT,0,0,60,4, 0, 0, 65,WINDOWS_10_WIN32,SMALL
17,DATASET_3,FACE_DETECT,0,0,73,3, 0, 0, 78,WINDOWS_10_WIN32,SMALL
18,DATASET_3,FACE_DETECT,0,0,58,3, 0, 0, 63,WINDOWS_10_WIN32,SMALL
19,DATASET_3,FACE_DETECT,0,0,54,1, 0, 0, 56,WINDOWS_10_WIN32,SMALL
20,DATASET_3,FACE_DETECT,0,0,54,1, 0, 0, 57,WINDOWS_10_WIN32,SMALL
21,DATASET_3,FACE_DETECT,0,0,62,3, 0, 0, 67,WINDOWS_10_WIN32,SMALL
22,DATASET_3,FACE_DETECT,0,0,48,1, 0, 0, 50,WINDOWS_10_WIN32,SMALL
23,DATASET_3,FACE_DETECT,0,0,70,3, 0, 0, 75,WINDOWS_10_WIN32,SMALL
24,DATASET_3,FACE_DETECT,0,0,49,1, 0, 0, 51,WINDOWS_10_WIN32,SMALL
25,DATASET_3,FACE_DETECT,0,0,60,3, 0, 0, 65,WINDOWS_10_WIN32,SMALL
26,DATASET_3,FACE_DETECT,0,0,59,3, 0, 0, 63,WINDOWS_10_WIN32,SMALL
27,DATASET_3,FACE_DETECT,0,0,43,1, 0, 0, 45,WINDOWS_10_WIN32,SMALL
28,DATASET_3,FACE_DETECT,0,0,144,0, 0, 0, 145,WINDOWS_10_WIN32,SMALL
29,DATASET_3,FACE_DETECT,0,0,46,1, 0, 0, 48,WINDOWS_10_WIN32,SMALL
30,DATASET_3,FACE_DETECT,0,0,47,2, 0, 0, 51,WINDOWS_10_WIN32,SMALL
31,DATASET_3,FACE_DETECT,0,0,36,1, 0, 0, 38,WINDOWS_10_WIN32,SMALL
32,DATASET_3,FACE_DETECT,0,0,25,1, 0, 0, 26,WINDOWS_10_WIN32,SMALL
33,DATASET_3,FACE_DETECT,0,0,29,0, 0, 0, 31,WINDOWS_10_WIN32,SMALL
34,DATASET_3,FACE_DETECT,0,0,29,1, 0, 0, 30,WINDOWS_10_WIN32,SMALL
35,DATASET_3,FACE_DETECT,0,0,54,3, 0, 0, 59,WINDOWS_10_WIN32,SMALL
36,DATASET_3,FACE_DETECT,0,0,42,2, 0, 0, 45,WINDOWS_10_WIN32,SMALL
37,DATASET_3,FACE_DETECT,0,0,53,1, 0, 0, 55,WINDOWS_10_WIN32,SMALL
38,DATASET_3,FACE_DETECT,0,0,59,3, 0, 0, 64,WINDOWS_10_WIN32,SMALL
39,DATASET_3,FACE_DETECT,0,0,61,2, 0, 0, 64,WINDOWS_10_WIN32,SMALL
40,DATASET_3,FACE_DETECT,0,0,53,2, 0, 0, 57,WINDOWS_10_WIN32,SMALL
41,DATASET_3,FACE_DETECT,0,0,54,1, 0, 0, 57,WINDOWS_10_WIN32,SMALL
42,DATASET_3,FACE_DETECT,0,0,162,0, 0, 0, 164,WINDOWS_10_WIN32,SMALL
43,DATASET_3,FACE_DETECT,0,0,52,1, 0, 0, 54,WINDOWS_10_WIN32,SMALL
44,DATASET_3,FACE_DETECT,0,0,49,1, 0, 0, 51,WINDOWS_10_WIN32,SMALL
45,DATASET_3,FACE_DETECT,0,0,42,0, 0, 0, 44,WINDOWS_10_WIN32,SMALL
46,DATASET_3,FACE_DETECT,0,0,61,2, 0, 0, 65,WINDOWS_10_WIN32,SMALL
47,DATASET_3,FACE_DETECT,0,0,66,4, 0, 0, 71,WINDOWS_10_WIN32,SMALL
48,DATASET_3,FACE_DETECT,0,0,66,1, 0, 0, 68,WINDOWS_10_WIN32,SMALL
49,DATASET_3,FACE_DETECT,0,0,44,0, 0, 0, 45,WINDOWS_10_WIN32,SMALL
50,DATASET_3,FACE_DETECT,0,0,62,2, 0, 0, 65,WINDOWS_10_WIN32,SMALL
51,DATASET_3,FACE_DETECT,0,0,71,2, 0, 0, 74,WINDOWS_10_WIN32,SMALL
52,DATASET_3,FACE_DETECT,0,0,54,1, 0, 0, 56,WINDOWS_10_WIN32,SMALL
53,DATASET_3,FACE_DETECT,0,0,68,2, 0, 0, 72,WINDOWS_10_WIN32,SMALL
54,DATASET_3,FACE_DETECT,0,0,41,0, 0, 0, 43,WINDOWS_10_WIN32,SMALL
