workload,dataset,resolution,system,total_frames,total_frames_processeds,test_total_time_ms,log_file
FACE_DETECT,DATASET_1,SMALL,Chrome_75_Windows,3915,775,169977.78999999719,LOG_FACE_DETECT_DATASET_1_SMALL_Chrome_75_Windows.csv
FACE_DETECT,DATASET_1,SMALL,Firefox_67_Windows,3915,885,163392,LOG_FACE_DETECT_DATASET_1_SMALL_Firefox_67_Windows.csv
FACE_DETECT,DATASET_1,SMALL,WINDOWS_10_WIN32,3915,1845,167644,LOG_FACE_DETECT_DATASET_1_SMALL_WINDOWS_10_WIN32.csv
FACE_DETECT,DATASET_1,MEDIUM,Chrome_75_Windows,3915,756,350346.1150000003,LOG_FACE_DETECT_DATASET_1_MEDIUM_Chrome_75_Windows.csv
FACE_DETECT,DATASET_1,MEDIUM,Firefox_67_Windows,3915,445,163044,LOG_FACE_DETECT_DATASET_1_MEDIUM_Firefox_67_Windows.csv
FACE_DETECT,DATASET_1,MEDIUM,WINDOWS_10_WIN32,3915,1738,242765,LOG_FACE_DETECT_DATASET_1_MEDIUM_WINDOWS_10_WIN32.csv
FACE_DETECT,DATASET_1,LARGE,Chrome_75_Windows,3915,750,783297.9899999991,LOG_FACE_DETECT_DATASET_1_LARGE_Chrome_75_Windows.csv
FACE_DETECT,DATASET_1,LARGE,Firefox_67_Windows,3915,198,163618,LOG_FACE_DETECT_DATASET_1_LARGE_Firefox_67_Windows.csv
FACE_DETECT,DATASET_1,LARGE,WINDOWS_10_WIN32,3915,1935,547485,LOG_FACE_DETECT_DATASET_1_LARGE_WINDOWS_10_WIN32.csv
FACE_DETECT,DATASET_2,SMALL,Chrome_75_Windows,3020,735,190739.77000000014,LOG_FACE_DETECT_DATASET_2_SMALL_Chrome_75_Windows.csv
FACE_DETECT,DATASET_2,SMALL,Firefox_67_Windows,3020,491,101044,LOG_FACE_DETECT_DATASET_2_SMALL_Firefox_67_Windows.csv
FACE_DETECT,DATASET_2,SMALL,WINDOWS_10_WIN32,3020,1440,137855,LOG_FACE_DETECT_DATASET_2_SMALL_WINDOWS_10_WIN32.csv
FACE_DETECT,DATASET_2,MEDIUM,Chrome_75_Windows,3020,647,374654.37999999995,LOG_FACE_DETECT_DATASET_2_MEDIUM_Chrome_75_Windows.csv
FACE_DETECT,DATASET_2,MEDIUM,Firefox_67_Windows,3020,236,101005,LOG_FACE_DETECT_DATASET_2_MEDIUM_Firefox_67_Windows.csv
FACE_DETECT,DATASET_2,MEDIUM,WINDOWS_10_WIN32,3020,1405,212446,LOG_FACE_DETECT_DATASET_2_MEDIUM_WINDOWS_10_WIN32.csv
FACE_DETECT,DATASET_2,LARGE,Chrome_75_Windows,3020,658,887189.9100000008,LOG_FACE_DETECT_DATASET_2_LARGE_Chrome_75_Windows.csv
FACE_DETECT,DATASET_2,LARGE,Firefox_67_Windows,3020,107,101043,LOG_FACE_DETECT_DATASET_2_LARGE_Firefox_67_Windows.csv
FACE_DETECT,DATASET_2,LARGE,WINDOWS_10_WIN32,3020,1500,472180,LOG_FACE_DETECT_DATASET_2_LARGE_WINDOWS_10_WIN32.csv
FACE_DETECT,DATASET_3,SMALL,Chrome_75_Windows,12296,1017,246157.84500000154,LOG_FACE_DETECT_DATASET_3_SMALL_Chrome_75_Windows.csv
FACE_DETECT,DATASET_3,SMALL,Firefox_67_Windows,12296,1353,246237,LOG_FACE_DETECT_DATASET_3_SMALL_Firefox_67_Windows.csv
FACE_DETECT,DATASET_3,SMALL,WINDOWS_10_WIN32,12296,5737,493677,LOG_FACE_DETECT_DATASET_3_SMALL_WINDOWS_10_WIN32.csv
FACE_DETECT,DATASET_3,MEDIUM,Chrome_75_Windows,12296,930,400788.1599999964,LOG_FACE_DETECT_DATASET_3_MEDIUM_Chrome_75_Windows.csv
FACE_DETECT,DATASET_3,MEDIUM,Firefox_67_Windows,12296,735,246445,LOG_FACE_DETECT_DATASET_3_MEDIUM_Firefox_67_Windows.csv
FACE_DETECT,DATASET_3,MEDIUM,WINDOWS_10_WIN32,12296,5628,709100,LOG_FACE_DETECT_DATASET_3_MEDIUM_WINDOWS_10_WIN32.csv
FACE_DETECT,DATASET_3,LARGE,Chrome_75_Windows,12296,920,861552.5649999981,LOG_FACE_DETECT_DATASET_3_LARGE_Chrome_75_Windows.csv
FACE_DETECT,DATASET_3,LARGE,Firefox_67_Windows,12296,350,246153,LOG_FACE_DETECT_DATASET_3_LARGE_Firefox_67_Windows.csv
FACE_DETECT,DATASET_3,LARGE,WINDOWS_10_WIN32,12296,6129,1504256,LOG_FACE_DETECT_DATASET_3_LARGE_WINDOWS_10_WIN32.csv

